Year,DICS,DIHRLD,NPL positive,NPL negative,Bankrupt positive,Bankrupt negative,Business Forecast ,Employment Forecast,Inflation,VJX,Nikkei,RGDP_lag2 positive,RGDP_lag2 negative,Unemp positive,Unemp negative
2004/06,0.12,-0.26,0,-0.0077885148,0,-0.000673444,0.43,-0.03,0.01,-0.010501639,0.0466417,0,-0.004968448,0,-0.010038488
2004/09,0.2,-0.14,0,-0.0082515633,0,-0.0005926706,0.4,-0.04,0.017666667,-0.028909576,-0.033051,0.000268291,0,0.029751247,0
2004/12,0.2,0.06,0,-0.0080885649,0,-0.0005576108,0.41,-0.06,0.020333333,-0.03007567,-0.0120644,0,-0.004987385,0,-0.030394172
2005/03,0.34,0.02,0,-0.0071932837,0,-0.0005866125,0.37,-0.05,0.013666667,-0.024494727,0.0524668,0.002581269,0,0.017763497,0
2005/06,0.22,-0.04,0,-0.0057551539,0,-0.0006852665,0.42,-0.15,0.017,-0.007582322,-0.0253448,0.003670361,0,0,-0.002107862
2005/09,0.3,0.02,0,-0.0045980077,0,-0.000778673,0.48,-0.13,0.017333333,-0.000472678,0.0880685,0.002669137,0,0,-0.001542217
2005/12,0.24,0.14,0,-0.0042329311,0,-0.0008063872,0.43,-0.16,0.021333333,0.032177596,0.1784381,0,-0.003174998,0.03878477,0
2006/03,0.24,0.22,0,-0.0040347066,0,-0.0007362248,0.5,-0.14,0.020666667,0.05607541,0.1180546,0,-0.002643119,0,-0.041693658
2006/06,0.244897959,0.142857143,0,-0.0035200348,0,-0.0005769177,0.47,-0.18,0.021666667,-0.010645479,-0.0035252,0.000625789,0,0,-0.000354695
2006/09,0.183673469,0.265306122,0,-0.0026073691,0,-0.0004155121,0.47,-0.14,0.026,-0.003210701,-0.0317647,0,-0.003179467,0.013423563,0
2006/12,0.163265306,0.265306122,0,-0.0014703054,0,-0.0003116612,0.49,-0.24,0.018666667,-0.049224782,0.0540983,0.00573404,0,0,-0.005899342
2007/03,0.142857143,0.163265306,0,-0.0006402112,0,-0.0002118398,0.53,-0.31,0.013333333,0.015679934,0.0546485,0.002234604,0,0.010413875,0
