Competition from other banks,Uncertain Economic Outlook,Competition from non  banks,Competition from capital markets,Industry problems,Asset portfolio,Risk tolerance
0.2196,0.1008,0.0594,0.1404,0.0792,0.0396,0.0198
0.1596,0.06,0.0396,0.1596,0.0804,0.0396,0.0396
0.1404,0.0804,0.0804,0.0804,0.0996,0.0804,0.06
0.2794,0.0792,0.121,0.22,0.2398,0.1408,0.121
0.2394,0.0396,0.0594,0.18,0.0792,0.0792,0.0594
0.2808,0,0.0988,0.2002,0.0598,0.0598,0.0598
0.2992,0,0.0594,0.1606,0.0198,0.0792,0.0396
0.2592,0,0.0594,0.1206,0.0396,0.0396,0.0792
0.16,0,0.08,0.0608,0,0.04,0.0608
0.1806,0,0.0798,0.0602,0.0406,0.0196,0.0406
0.2208,0,0.08,0.0608,0.04,0.0608,0.0608
0.1806,0,0.0798,0.0602,0.0406,0.0602,0.0406
0.08,0,0.08,0.06,0.02,0.06,0.04
0.1408,0.0208,0.12,0.1408,0.0608,0.1008,0.04
0.1806,0.0406,0.1204,0.14,0.0602,0.0994,0.0406
0.3,0.06,0.1608,0.1992,0.0792,0.0792,0.0408
0.319,0.099,0.1408,0.1804,0.0792,0.099,0.0396
0.32,0.16,0.14,0.12,0.18,0.08,0
0.3792,0.18,0.2208,0.2208,0.1608,0.1008,0.0792
0.4396,0.1596,0.1792,0.1792,0.1792,0.1596,0.0588
0.1404,0.0996,0.0996,0.06,0.1596,0.0996,0.0396
0.28,0.08,0.08,0.12,0.1008,0.08,0.04
0.28,0.16,0.12,0.1,0.18,0.18,0.16
0.2596,0.22,0.099,0.0792,0.2596,0.1804,0.099
0.2592,0.2196,0.1206,0.0594,0.18,0.1206,0.0792
0.2808,0.1998,0.1008,0.0594,0.1602,0.1206,0.1206
0.2198,0.1596,0.0994,0.0406,0.0994,0.0994,0.0798
0.12,0.1,0.04,0.02,0.04,0.04,0.04
0.1,0.12,0.08,0.02,0.08,0.06,0.04
0.1,0.14,0.02,0.04,0.08,0.08,0.08
0.06,0.06,0,0.04,0.04,0.04,0.04
0.08,0.04,0.04,0.02,0.04,0.04,0.02
0.06,0.06,0.0402,0.0198,0.0402,0.0402,0.0198
0.04,0,0.02,0,0,0,0.02
0.02,0,0,0,0,0,0.02
0,0,0.0198,0,0,0,0
0.0198,0,0,0.0198,0,0,0
0.0804,0.0204,0,0.0204,0,0,0.0204
0.08,0,0,0,0,0,0.02
0.08,0,0,0,0,0,0.02
0.12,0,0,0.06,0.02,0,0
0.2,0.0608,0.04,0.16,0.08,0.0208,0.0208
0.2596,0.0198,0.0594,0.1408,0.0396,0.0396,0.0396
0.2,0.0208,0,0.08,0.0208,0,0
0.18,0,0.0396,0.0804,0.0396,0,0
0.24,0.02,0,0.04,0,0.02,0.02
0.22,0.06,0.04,0.04,0.02,0.02,0.02
0.12,0.02,0.04,0.04,0.02,0,0
0.1596,0.0406,0.0406,0.0406,0.0406,0.0196,0
0.12,0.02,0.04,0.04,0.02,0,0
0.1596,0.0196,0.0406,0.0406,0.0196,0,0
0.14,0.02,0.04,0.04,0.02,0,0
0.14,0.02,0.04,0.04,0.02,0,0
0.2208,0.08,0.08,0.1008,0.0608,0.04,0.0208
0.1806,0.0994,0.0798,0.0602,0.0406,0.0406,0.0196
0.2394,0.1602,0.0792,0.0792,0.1008,0.0396,0.0198
0.2208,0.1408,0.1408,0.1008,0.1008,0.08,0.0608
0.2002,0.14,0.0994,0.0602,0.0798,0.0406,0.0406
0.1596,0.1204,0.0798,0.0602,0.0798,0.0406,0.0196
0.04,0.02,0.02,0,0.02,0,0.02
0.12,0.08,0.08,0.02,0.06,0.06,0.06
0.06,0.0198,0.0198,0,0.0198,0,0
0.04,0.02,0.02,0,0.02,0,0
0.0402,0.0402,0.0402,0.0198,0.0402,0.0198,0.0198
0.08,0.04,0.02,0,0.06,0,0.02
0.06,0.0402,0.0198,0,0.06,0,0.0198
0.14,0.04,0.02,0.02,0.04,0.02,0.04
0.08,0.02,0.02,0,0.02,0,0
