Competition from other banks,Uncertain Economic Outlook,Competition from non banks,Competition from capital markets,Industry problems,Asset portfolio,Risk tolerance
0.02,0.02,0.02,0,0.02,0,0
0,0,0,0,0,0,0.08
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.0402,0.0798,0.0198,0.0402,0.0402,0.06,0
0,0.02,0,0,0.02,0,0
0,0,0,0,0,0,0
0.0198,0.06,0,0.0198,0.0198,0.0798,0
0,0.04,0,0.02,0,0.02,0.08
0,0.04,0,0.02,0.04,0.02,0.02
0,0.02,0,0,0,0,0.02
0,0,0,0,0.02,0,0
0,0.02,0,0,0.02,0.04,0.02
0.02,0.02,0,0,0.02,0.04,0.02
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0.02,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0.1002,0,0.0198,0,0.0798,0
0,0.06,0,0.0402,0,0.0198,0
0,0.1002,0.0198,0.0402,0,0.0402,0
0,0.08,0,0.06,0,0.06,0.04
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0.02
0,0,0,0,0.02,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0.04
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
