Year,HMRCSpPast,HMRCSpPastt0
4/1/2000,0.153061224,0.112244898
7/1/2000,0,0.153061224
10/1/2000,0.09,0
1/1/2001,0.04,0.09
4/1/2001,0.13,0.04
7/1/2001,0.12,0.13
10/1/2001,0.04,0.12
1/1/2002,-0.01,0.04
4/1/2002,-0.15,-0.01
7/1/2002,-0.17,-0.15
10/1/2002,-0.19,-0.17
1/1/2003,-0.12,-0.19
4/1/2003,-0.15,-0.12
7/1/2003,-0.09,-0.15
10/1/2003,0.03,-0.09
1/1/2004,0.03,0.03
4/1/2004,0.14,0.03
7/1/2004,0.14,0.14
10/1/2004,0.27,0.14
1/1/2005,0.17,0.27
4/1/2005,0.23,0.17
7/1/2005,0.2,0.23
10/1/2005,0.2,0.2
1/1/2006,0.204081633,0.2
4/1/2006,0.112244898,0.204081633
7/1/2006,0.112244898,0.112244898
10/1/2006,0.102040816,0.112244898
1/1/2007,0.081632653,0.102040816
4/1/2007,0.010204082,0.081632653
7/1/2007,0.020408163,0.010204082
10/1/2007,0.010204082,0.020408163
1/1/2008,0.051020408,0.010204082
4/1/2008,0.010204082,0.051020408
7/1/2008,-0.020408163,0.010204082
10/1/2008,-0.142857143,-0.020408163
1/1/2009,-0.112244898,-0.142857143
4/1/2009,-0.040816327,-0.112244898
7/1/2009,-0.06122449,-0.040816327
10/1/2009,0.020408163,-0.06122449
1/1/2010,0,0.020408163
4/1/2010,0.06122449,0
7/1/2010,0.071428571,0.06122449
10/1/2010,0.091836735,0.071428571
1/1/2011,0.071428571,0.091836735
4/1/2011,0.06122449,0.071428571
7/1/2011,0.06122449,0.06122449
10/1/2011,0.040816327,0.06122449
1/1/2012,0.03,0.040816327
4/1/2012,0.01,0.03
7/1/2012,0.03,0.01
10/1/2012,0.02,0.03
1/1/2013,0.02,0.02
4/1/2013,0.04,0.02
7/1/2013,0.03,0.04
10/1/2013,0.06,0.03
1/1/2014,0.09,0.06
4/1/2014,0.05,0.09
7/1/2014,0.1,0.05
10/1/2014,0.09,0.1
1/1/2015,0.09,0.09
4/1/2015,0.07,0.09
7/1/2015,0.07,0.07
10/1/2015,0.06,0.07
1/1/2016,0.15,0.06
4/1/2016,0.19,0.15
7/1/2016,0.16,0.19
10/1/2016,0.16,0.16
