Year,LRLDPast
2000-04-01,-0.14
2000-07-01,-0.22
2000-10-01,0.02
2001-01-01,-0.12
2001-04-01,-0.26
2001-07-01,-0.48
2001-10-01,-0.48
2002-01-01,-0.4
2002-04-01,-0.44
2002-07-01,-0.5
2002-10-01,-0.3
2003-01-01,-0.18
2003-04-01,-0.3
2003-07-01,-0.34
2003-10-01,0.0
2004-01-01,0.08
2004-04-01,-0.06
2004-07-01,-0.3
2004-10-01,-0.02
2005-01-01,0.12
2005-04-01,0.04
2005-07-01,-0.08
2005-10-01,0.16
2006-01-01,0.26
2006-04-01,0.34
2006-07-01,0.1
2006-10-01,0.24
2007-01-01,0.16
2007-04-01,0.08
2007-07-01,-0.1
2007-10-01,0.04
2008-01-01,0.06
2008-04-01,-0.06
2008-07-01,-0.3
2008-10-01,-0.18
2009-01-01,0.4
2009-04-01,0.18
2009-07-01,-0.26
2009-10-01,-0.18
2010-01-01,-0.22
2010-04-01,-0.08
2010-07-01,-0.26
2010-10-01,-0.02
2011-01-01,0.0
2011-04-01,0.18
2011-07-01,-0.12
2011-10-01,0.02
2012-01-01,-0.04
2012-04-01,0.08
2012-07-01,-0.12
2012-10-01,0.02
2013-01-01,0.0
2013-04-01,0.06
2013-07-01,0.0
2013-10-01,0.06
2014-01-01,0.14
2014-04-01,0.1
2014-07-01,0.08
2014-10-01,0.08
2015-01-01,0.1
2015-04-01,0.02
2015-07-01,0.02
2015-10-01,0.1
2016-01-01,0.1
2016-04-01,0.08
2016-07-01,0.08
2016-10-01,0.08
2017-01-01,0.16
