V1,V2,V3,V4,V5,V6,V7
0,0.2,0.2,0.2,0.2,0,0
0,0,0,0,0,0,0.4
-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
0.2,0.266,0.134,0.134,0.066,0.134,-0.2
0,0.2,0.2,0,0,0,0
-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
0.266,0.2,0.066,0.066,0,0.066,-0.2
0.1,0.2,0,0,0,0.1,0.4
0.1,0.2,0.2,0,0,0.1,0.1
0,0.1,0,0,0,0,0.1
0,0,0.1,0,0,0,0
0.2,0.1,0.1,0,0,0,0.1
0.2,0.1,0.1,0.1,0,0,0.1
0,0,0,0,0,0,0
0,0,0,0,0,0,0
-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
0,0,0,0,0,0,0
-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
0,0,0.2,0,0,0,0
-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
0.266,0.334,0,0,0,0.066,0
0.066,0.2,0,0,0,0.134,0
0.134,0.334,0,0,0.066,0.134,0
0.15,0.2,0,0,0,0.15,0.1
0,0,0,0,0,0,0
-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0.2
0,0,0.2,0,0,0,0
-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.02,0.02,0.02,0.02,0.02,0.02,0.06
0.02,0.02,0.02,0.02,0.02,0.02,0.02
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
