Year,HMRCSpFuture
2000-04-01,-0.02040816326530612
2000-07-01,-0.01020408163265306
2000-10-01,-0.061224489795918366
2001-01-01,-0.03
2001-04-01,-0.08
2001-07-01,0.04
2001-10-01,-0.02
2002-01-01,-0.13
2002-04-01,-0.25
2002-07-01,-0.31
2002-10-01,-0.34
2003-01-01,-0.3
2003-04-01,-0.27
2003-07-01,-0.24
2003-10-01,-0.17
2004-01-01,-0.11
2004-04-01,-0.07
2004-07-01,0.01
2004-10-01,0.08
2005-01-01,0.13
2005-04-01,0.06
2005-07-01,0.07
2005-10-01,0.05
2006-01-01,0.01
2006-04-01,0.01020408163265306
2006-07-01,-0.061224489795918366
2006-10-01,-0.07142857142857142
2007-01-01,-0.01020408163265306
2007-04-01,-0.05102040816326531
2007-07-01,-0.030612244897959183
2007-10-01,-0.04081632653061224
2008-01-01,-0.01020408163265306
2008-04-01,-0.030612244897959183
2008-07-01,-0.02040816326530612
2008-10-01,-0.05102040816326531
2009-01-01,-0.14285714285714285
2009-04-01,-0.1836734693877551
2009-07-01,-0.05102040816326531
2009-10-01,-0.04081632653061224
2010-01-01,-0.061224489795918366
2010-04-01,-0.01020408163265306
2010-07-01,0.01020408163265306
2010-10-01,-0.01020408163265306
2011-01-01,-0.01020408163265306
2011-04-01,-0.0
2011-07-01,0.01020408163265306
2011-10-01,-0.04081632653061224
2012-01-01,-0.030612244897959183
2012-04-01,-0.04
2012-07-01,-0.02
2012-10-01,-0.03
2013-01-01,-0.03
2013-04-01,-0.0
2013-07-01,-0.02
2013-10-01,-0.01
2014-01-01,0.01
2014-04-01,-0.01
2014-07-01,-0.0
2014-10-01,0.01
2015-01-01,-0.0
2015-04-01,0.02
2015-07-01,-0.0
2015-10-01,-0.02
2016-01-01,-0.0
2016-04-01,-0.0
2016-07-01,0.04
2016-10-01,0.01
2017-01-01,0.01
