Year,HRLDPast
4/1/2000,-0.14
7/1/2000,-0.2
10/1/2000,-0.12
1/1/2001,-0.18
4/1/2001,-0.28
7/1/2001,-0.18
10/1/2001,-0.36
1/1/2002,-0.18
4/1/2002,-0.14
7/1/2002,-0.32
10/1/2002,-0.16
1/1/2003,-0.1
4/1/2003,-0.26
7/1/2003,-0.2
10/1/2003,-0.14
1/1/2004,-0.04
4/1/2004,-0.26
7/1/2004,-0.14
10/1/2004,0.06
1/1/2005,0.02
4/1/2005,-0.04
7/1/2005,0.02
10/1/2005,0.14
1/1/2006,0.22
4/1/2006,0.142857143
7/1/2006,0.265306122
10/1/2006,0.265306122
1/1/2007,0.163265306
4/1/2007,0.12244898
7/1/2007,0.102040816
10/1/2007,0.06122449
1/1/2008,0.224489796
4/1/2008,0.06122449
7/1/2008,-0.081632653
10/1/2008,0.040816327
1/1/2009,0.755102041
4/1/2009,0.265306122
7/1/2009,-0.183673469
10/1/2009,-0.204081633
1/1/2010,-0.244897959
4/1/2010,-0.244897959
7/1/2010,-0.183673469
10/1/2010,-0.06122449
1/1/2011,-0.102040816
4/1/2011,0.142857143
7/1/2011,-0.040816327
10/1/2011,-0.020408163
1/1/2012,-0.020408163
4/1/2012,0.18
7/1/2012,0.04
10/1/2012,0.12
1/1/2013,0.1
4/1/2013,0.08
7/1/2013,0.02
10/1/2013,0.02
1/1/2014,0.06
4/1/2014,0.14
7/1/2014,0.1
10/1/2014,0.02
1/1/2015,0.08
4/1/2015,0
7/1/2015,0.12
10/1/2015,0.04
1/1/2016,0.16
4/1/2016,0.1
7/1/2016,-0.04
10/1/2016,0.02
1/1/2017,0.02
