Year,cshosue_di,cshosue_dit0
4/1/2000,0.530612245,0.591836735
7/1/2000,0.551020408,0.530612245
10/1/2000,0.489795918,0.551020408
1/1/2001,0.551020408,0.489795918
4/1/2001,0.52,0.551020408
7/1/2001,0.469387755,0.52
10/1/2001,0.448979592,0.469387755
1/1/2002,0.469387755,0.448979592
4/1/2002,0.448979592,0.469387755
7/1/2002,0.408163265,0.448979592
10/1/2002,0.571428571,0.408163265
1/1/2003,0.530612245,0.571428571
4/1/2003,0.510204082,0.530612245
7/1/2003,0.530612245,0.510204082
10/1/2003,0.551020408,0.530612245
1/1/2004,0.510204082,0.551020408
4/1/2004,0.510204082,0.510204082
7/1/2004,0.551020408,0.510204082
10/1/2004,0.469387755,0.551020408
1/1/2005,0.428571429,0.469387755
4/1/2005,0.367346939,0.428571429
7/1/2005,0.367346939,0.367346939
10/1/2005,0.326530612,0.367346939
1/1/2006,0.387755102,0.326530612
4/1/2006,0.346938776,0.387755102
7/1/2006,0.326530612,0.346938776
10/1/2006,0.306122449,0.326530612
1/1/2007,0.285714286,0.306122449
4/1/2007,0.326530612,0.285714286
7/1/2007,0.204081633,0.326530612
10/1/2007,0.265306122,0.204081633
1/1/2008,0.183673469,0.265306122
4/1/2008,0.163265306,0.183673469
7/1/2008,0.102040816,0.163265306
10/1/2008,0.102040816,0.102040816
1/1/2009,0.081632653,0.102040816
4/1/2009,0.081632653,0.081632653
7/1/2009,0.12244898,0.081632653
10/1/2009,0.12244898,0.12244898
1/1/2010,0.244897959,0.12244898
4/1/2010,0.163265306,0.244897959
7/1/2010,0.183673469,0.163265306
10/1/2010,0.244897959,0.183673469
1/1/2011,0.183673469,0.244897959
4/1/2011,0.204081633,0.183673469
7/1/2011,0.224489796,0.204081633
10/1/2011,0.183673469,0.224489796
1/1/2012,0.224489796,0.183673469
4/1/2012,0.224489796,0.224489796
7/1/2012,0.204081633,0.224489796
10/1/2012,0.265306122,0.204081633
1/1/2013,0.224489796,0.265306122
4/1/2013,0.26,0.224489796
7/1/2013,0.22,0.26
10/1/2013,0.24,0.22
1/1/2014,0.24,0.24
4/1/2014,0.22,0.24
7/1/2014,0.16,0.22
10/1/2014,0.26,0.16
1/1/2015,0.2,0.26
4/1/2015,0.22,0.2
7/1/2015,0.18,0.22
10/1/2015,0.2,0.18
1/1/2016,0.28,0.2
4/1/2016,0.18,0.28
7/1/2016,0.18,0.18
10/1/2016,0.12,0.18
