DATE,JPNRGDPEXP_PCH
1994-04-01,-0.89110
1994-07-01,1.57558
1994-10-01,-0.56480
1995-01-01,1.00196
1995-04-01,1.23485
1995-07-01,1.20312
1995-10-01,0.18925
1996-01-01,1.15327
1996-04-01,0.81026
1996-07-01,-0.00853
1996-10-01,1.21594
1997-01-01,0.49587
1997-04-01,-1.12981
1997-07-01,0.55700
1997-10-01,0.24475
1998-01-01,-1.40217
1998-04-01,-0.42091
1998-07-01,0.18766
1998-10-01,1.08203
1999-01-01,-1.51347
1999-04-01,0.47128
1999-07-01,0.40305
1999-10-01,0.08700
2000-01-01,1.92828
2000-04-01,0.20964
2000-07-01,0.03598
2000-10-01,0.98050
2001-01-01,0.65466
2001-04-01,-0.60019
2001-07-01,-1.11547
2001-10-01,-0.19996
2002-01-01,0.06900
2002-04-01,0.78110
2002-07-01,0.42060
2002-10-01,0.36091
2003-01-01,-0.29434
2003-04-01,0.93630
2003-07-01,0.42365
2003-10-01,1.06955
2004-01-01,0.85905
2004-04-01,-0.07584
2004-07-01,0.46572
2004-10-01,-0.39234
2005-01-01,0.53661
2005-04-01,0.89021
2005-07-01,0.96803
2005-10-01,0.17195
2006-01-01,0.04893
2006-04-01,0.41754
2006-07-01,-0.17495
2006-10-01,1.09867
2007-01-01,0.89770
2007-04-01,-0.08833
2007-07-01,-0.30382
2007-10-01,0.46438
2008-01-01,0.40171
2008-04-01,-0.71555
2008-07-01,-1.22061
2008-10-01,-2.14274
2009-01-01,-4.83995
2009-04-01,1.98335
2009-07-01,-0.06845
2009-10-01,1.49258
2010-01-01,1.06797
2010-04-01,0.99294
2010-07-01,1.86793
2010-10-01,-0.66157
2011-01-01,-1.47991
2011-04-01,-0.50743
2011-07-01,2.29213
2011-10-01,-0.10977
2012-01-01,1.05665
2012-04-01,-0.37636
2012-07-01,-0.45417
2012-10-01,0.11713
2013-01-01,1.18149
2013-04-01,1.08168
2013-07-01,0.57078
2013-10-01,-0.13149
2014-01-01,1.10573
2014-04-01,-1.79462
2014-07-01,-0.23703
2014-10-01,0.66404
2015-01-01,1.30674
2015-04-01,-0.00865
2015-07-01,0.16163
2015-10-01,-0.24880
2016-01-01,0.47129
2016-04-01,0.53945
2016-07-01,0.30565
2016-10-01,0.30152
