DATE,LRUN64TTJPM156S_PCH
1970-04-01,0.00000
1970-07-01,9.09091
1970-10-01,8.33333
1971-01-01,-7.69231
1971-04-01,0.00000
1971-07-01,0.00000
1971-10-01,16.66667
1972-01-01,7.14286
1972-04-01,-6.66667
1972-07-01,7.14286
1972-10-01,-6.66667
1973-01-01,-7.14286
1973-04-01,7.69231
1973-07-01,-7.14286
1973-10-01,-7.69231
1974-01-01,16.66667
1974-04-01,-7.14286
1974-07-01,7.69231
1974-10-01,14.28571
1975-01-01,12.50000
1975-04-01,0.00000
1975-07-01,5.55556
1975-10-01,10.52632
1976-01-01,-4.76190
1976-04-01,5.00000
1976-07-01,-4.76190
1976-10-01,-5.00000
1977-01-01,5.26316
1977-04-01,0.00000
1977-07-01,0.00000
1977-10-01,5.00000
1978-01-01,4.76190
1978-04-01,4.54545
1978-07-01,0.00000
1978-10-01,-4.34783
1979-01-01,0.00000
1979-04-01,-4.54545
1979-07-01,0.00000
1979-10-01,0.00000
1980-01-01,-4.76190
1980-04-01,0.00000
1980-07-01,5.00000
1980-10-01,4.76190
1981-01-01,0.00000
1981-04-01,4.54545
1981-07-01,-4.34783
1981-10-01,0.00000
1982-01-01,4.54545
1982-04-01,4.34783
1982-07-01,0.00000
1982-10-01,4.16667
1983-01-01,8.00000
1983-04-01,0.00000
1983-07-01,0.00000
1983-10-01,0.00000
1984-01-01,3.70370
1984-04-01,0.00000
1984-07-01,0.00000
1984-10-01,-3.57143
1985-01-01,-3.70370
1985-04-01,0.00000
1985-07-01,0.00000
1985-10-01,11.53846
1986-01-01,-6.89655
1986-04-01,3.70370
1986-07-01,3.57143
1986-10-01,0.00000
1987-01-01,3.44828
1987-04-01,3.33333
1987-07-01,-9.67742
1987-10-01,0.00000
1988-01-01,0.00000
1988-04-01,-7.14286
1988-07-01,0.00000
1988-10-01,-3.84615
1989-01-01,-4.00000
1989-04-01,0.00000
1989-07-01,-4.16667
1989-10-01,0.00000
1990-01-01,-4.34783
1990-04-01,0.00000
1990-07-01,0.00000
1990-10-01,-4.54545
1991-01-01,0.00000
1991-04-01,4.76190
1991-07-01,0.00000
1991-10-01,-4.54545
1992-01-01,4.76190
1992-04-01,0.00000
1992-07-01,0.00000
1992-10-01,9.09091
1993-01-01,0.00000
1993-04-01,4.16667
1993-07-01,4.00000
1993-10-01,11.53846
1994-01-01,3.44828
1994-04-01,-3.33333
1994-07-01,6.89655
1994-10-01,-3.22581
1995-01-01,3.33333
1995-04-01,3.22581
1995-07-01,3.12500
1995-10-01,3.03030
1996-01-01,2.94118
1996-04-01,0.00000
1996-07-01,-2.85714
1996-10-01,2.94118
1997-01-01,0.00000
1997-04-01,0.00000
1997-07-01,0.00000
1997-10-01,5.71429
1998-01-01,2.70270
1998-04-01,10.52632
1998-07-01,4.76190
1998-10-01,4.54545
1999-01-01,4.34783
1999-04-01,2.08333
1999-07-01,0.00000
1999-10-01,0.00000
2000-01-01,2.04082
2000-04-01,-2.00000
2000-07-01,0.00000
2000-10-01,2.04082
2001-01-01,-2.00000
2001-04-01,4.08163
2001-07-01,5.88235
2001-10-01,3.70370
2002-01-01,0.00000
2002-04-01,0.00000
2002-07-01,1.78571
2002-10-01,-1.75439
2003-01-01,0.00000
2003-04-01,1.78571
2003-07-01,-5.26316
2003-10-01,-3.70370
2004-01-01,-1.92308
2004-04-01,-3.92157
2004-07-01,2.04082
2004-10-01,-6.00000
2005-01-01,0.00000
2005-04-01,-2.12766
2005-07-01,-2.17391
2005-10-01,4.44444
2006-01-01,-6.38298
2006-04-01,-2.27273
2006-07-01,0.00000
2006-10-01,-2.32558
2007-01-01,0.00000
2007-04-01,-7.14286
2007-07-01,0.00000
2007-10-01,2.56410
2008-01-01,2.50000
2008-04-01,0.00000
2008-07-01,2.43902
2008-10-01,2.38095
2009-01-01,11.62791
2009-04-01,10.41667
2009-07-01,7.54717
2009-10-01,-3.50877
2010-01-01,-3.63636
2010-04-01,1.88679
2010-07-01,-1.85185
2010-10-01,0.00000
2011-01-01,-5.66038
2011-04-01,-2.00000
2011-07-01,-4.08163
2011-10-01,0.00000
2012-01-01,0.00000
2012-04-01,-2.12766
2012-07-01,-2.17391
2012-10-01,-2.22222
2013-01-01,0.00000
2013-04-01,-2.27273
2013-07-01,-4.65116
2013-10-01,0.00000
2014-01-01,-7.31707
2014-04-01,0.00000
2014-07-01,-2.63158
2014-10-01,0.00000
2015-01-01,-2.70270
2015-04-01,-2.77778
2015-07-01,0.00000
2015-10-01,0.00000
2016-01-01,-2.85714
2016-04-01,-2.94118
2016-07-01,-3.03030
2016-10-01,0.00000
