DATE,NIKKEI225_PCH
1949-10-01,-17.31269
1950-01-01,-21.73546
1950-04-01,-7.89138
1950-07-01,10.96211
1950-10-01,2.14847
1951-01-01,11.61502
1951-04-01,6.20846
1951-07-01,9.71881
1951-10-01,15.93994
1952-01-01,14.38356
1952-04-01,15.51443
1952-07-01,20.82469
1952-10-01,28.03541
1953-01-01,21.99409
1953-04-01,-15.20713
1953-07-01,16.56507
1953-10-01,7.19266
1954-01-01,-17.04495
1954-04-01,-5.60843
1954-07-01,3.53069
1954-10-01,-2.84045
1955-01-01,9.61728
1955-04-01,-3.96091
1955-07-01,6.04855
1955-10-01,8.35165
1956-01-01,7.19834
1956-04-01,11.85619
1956-07-01,2.17642
1956-10-01,6.24685
1957-01-01,8.60650
1957-04-01,-3.20549
1957-07-01,-7.35358
1957-10-01,-1.52189
1958-01-01,3.38802
1958-04-01,7.29179
1958-07-01,3.81696
1958-10-01,7.31884
1959-01-01,13.61538
1959-04-01,10.10992
1959-07-01,10.46696
1959-10-01,8.54601
1960-01-01,5.21102
1960-04-01,7.30850
1960-07-01,8.37546
1960-10-01,11.91021
1961-01-01,17.54679
1961-04-01,10.06587
1961-07-01,1.10456
1961-10-01,-19.00847
1962-01-01,10.45521
1962-04-01,-6.25079
1962-07-01,0.09462
1962-10-01,-3.24037
1963-01-01,9.43843
1963-04-01,5.66504
1963-07-01,-10.58543
1963-10-01,-7.87084
1964-01-01,-2.27250
1964-04-01,0.85770
1964-07-01,1.24784
1964-10-01,-6.23725
1965-01-01,0.91888
1965-04-01,-8.10802
1965-07-01,2.36470
1965-10-01,13.11300
1966-01-01,14.28056
1966-04-01,3.34715
1966-07-01,-4.39348
1966-10-01,-3.56293
1967-01-01,2.84881
1967-04-01,0.37279
1967-07-01,-4.18447
1967-10-01,-5.77166
1968-01-01,0.54900
1968-04-01,10.32963
1968-07-01,12.62082
1968-10-01,4.34883
1969-01-01,4.46167
1969-04-01,6.86142
1969-07-01,0.48480
1969-10-01,11.76623
1970-01-01,9.98806
1970-04-01,-7.09430
1970-07-01,-3.52846
1970-10-01,-3.30317
1971-01-01,6.61797
1971-04-01,12.36064
1971-07-01,1.27463
1971-10-01,-4.46026
1972-01-01,22.60169
1972-04-01,18.06312
1972-07-01,15.05712
1972-10-01,17.29734
1973-01-01,9.85034
1973-04-01,-8.71436
1973-07-01,3.09245
1973-10-01,-8.35110
1974-01-01,0.73528
1974-04-01,4.26337
1974-07-01,-7.97474
1974-10-01,-12.16191
1975-01-01,8.29876
1975-04-01,10.14461
1975-07-01,-6.42605
1975-10-01,1.60075
1976-01-01,7.65724
1976-04-01,0.86891
1976-07-01,2.41399
1976-10-01,-1.34673
1977-01-01,7.39290
1977-04-01,-0.05285
1977-07-01,2.03602
1977-10-01,-2.78639
1978-01-01,3.56144
1978-04-01,6.59765
1978-07-01,1.90943
1978-10-01,5.89686
1979-01-01,2.84317
1979-04-01,1.58201
1979-07-01,2.77130
1979-10-01,1.33043
1980-01-01,3.77144
1980-04-01,1.57917
1980-07-01,1.17123
1980-10-01,3.64283
1981-01-01,1.15208
1981-04-01,4.64565
1981-07-01,2.91632
1981-10-01,-2.63042
1982-01-01,-0.19340
1982-04-01,-2.85910
1982-07-01,-3.19953
1982-10-01,7.73710
1983-01-01,5.87085
1983-04-01,6.47693
1983-07-01,5.78691
1983-10-01,3.66519
1984-01-01,7.36573
