DATE,LRUN64TTJPQ156S
7/1/1970,1.2
10/1/1970,1.3
1/1/1971,1.2
4/1/1971,1.2
7/1/1971,1.2
10/1/1971,1.4
1/1/1972,1.5
4/1/1972,1.4
7/1/1972,1.5
10/1/1972,1.4
1/1/1973,1.3
4/1/1973,1.4
7/1/1973,1.3
10/1/1973,1.2
1/1/1974,1.4
4/1/1974,1.3
7/1/1974,1.4
10/1/1974,1.6
1/1/1975,1.8
4/1/1975,1.8
7/1/1975,1.9
10/1/1975,2.1
1/1/1976,2
4/1/1976,2.1
7/1/1976,2
10/1/1976,1.9
1/1/1977,2
4/1/1977,2
7/1/1977,2
10/1/1977,2.1
1/1/1978,2.2
4/1/1978,2.3
7/1/1978,2.3
10/1/1978,2.2
1/1/1979,2.2
4/1/1979,2.1
7/1/1979,2.1
10/1/1979,2.1
1/1/1980,2
4/1/1980,2
7/1/1980,2.1
10/1/1980,2.2
1/1/1981,2.2
4/1/1981,2.3
7/1/1981,2.2
10/1/1981,2.2
1/1/1982,2.3
4/1/1982,2.4
7/1/1982,2.4
10/1/1982,2.5
1/1/1983,2.7
4/1/1983,2.7
7/1/1983,2.7
10/1/1983,2.7
1/1/1984,2.8
4/1/1984,2.8
7/1/1984,2.8
10/1/1984,2.7
1/1/1985,2.6
4/1/1985,2.6
7/1/1985,2.6
10/1/1985,2.9
1/1/1986,2.7
4/1/1986,2.8
7/1/1986,2.9
10/1/1986,2.9
1/1/1987,3
4/1/1987,3.1
7/1/1987,2.8
10/1/1987,2.8
1/1/1988,2.8
4/1/1988,2.6
7/1/1988,2.6
10/1/1988,2.5
1/1/1989,2.4
4/1/1989,2.4
7/1/1989,2.3
10/1/1989,2.3
1/1/1990,2.2
4/1/1990,2.2
7/1/1990,2.2
10/1/1990,2.1
1/1/1991,2.1
4/1/1991,2.2
7/1/1991,2.2
10/1/1991,2.1
1/1/1992,2.2
4/1/1992,2.2
7/1/1992,2.2
10/1/1992,2.4
1/1/1993,2.4
4/1/1993,2.5
7/1/1993,2.6
10/1/1993,2.9
1/1/1994,3
4/1/1994,2.9
7/1/1994,3.1
10/1/1994,3
1/1/1995,3.1
4/1/1995,3.2
7/1/1995,3.3
10/1/1995,3.4
1/1/1996,3.5
4/1/1996,3.5
7/1/1996,3.4
10/1/1996,3.5
1/1/1997,3.5
4/1/1997,3.5
7/1/1997,3.5
10/1/1997,3.7
1/1/1998,3.8
4/1/1998,4.2
7/1/1998,4.4
10/1/1998,4.6
1/1/1999,4.8
4/1/1999,4.9
7/1/1999,4.9
10/1/1999,4.9
1/1/2000,5
4/1/2000,4.9
7/1/2000,4.9
10/1/2000,5
1/1/2001,4.9
4/1/2001,5.1
7/1/2001,5.4
10/1/2001,5.6
1/1/2002,5.6
4/1/2002,5.6
7/1/2002,5.7
10/1/2002,5.6
1/1/2003,5.6
4/1/2003,5.7
7/1/2003,5.4
10/1/2003,5.2
1/1/2004,5.1
4/1/2004,4.9
7/1/2004,5
10/1/2004,4.7
1/1/2005,4.7
4/1/2005,4.6
7/1/2005,4.5
10/1/2005,4.7
1/1/2006,4.4
4/1/2006,4.3
7/1/2006,4.3
10/1/2006,4.2
1/1/2007,4.2
4/1/2007,3.9
7/1/2007,3.9
10/1/2007,4
1/1/2008,4.1
4/1/2008,4.1
7/1/2008,4.2
10/1/2008,4.3
1/1/2009,4.8
4/1/2009,5.3
7/1/2009,5.7
10/1/2009,5.5
1/1/2010,5.3
4/1/2010,5.4
7/1/2010,5.3
10/1/2010,5.3
1/1/2011,5
4/1/2011,4.9
7/1/2011,4.7
10/1/2011,4.7
1/1/2012,4.7
4/1/2012,4.6
7/1/2012,4.5
10/1/2012,4.4
1/1/2013,4.4
4/1/2013,4.3
7/1/2013,4.1
10/1/2013,4.1
1/1/2014,3.8
4/1/2014,3.8
7/1/2014,3.7
10/1/2014,3.7
1/1/2015,3.6
4/1/2015,3.5
7/1/2015,3.5
10/1/2015,3.5
1/1/2016,3.4
4/1/2016,3.3
7/1/2016,3.2
