DATE,LRUN64TTJPM156S
7/1/1970,1.3
1/1/1971,1.2
7/1/1971,1.3
1/1/1972,1.4
7/1/1972,1.4
1/1/1973,1.4
7/1/1973,1.2
1/1/1974,1.3
7/1/1974,1.5
1/1/1975,1.8
7/1/1975,2
1/1/1976,2.1
7/1/1976,2
1/1/1977,2
7/1/1977,2.1
1/1/1978,2.3
7/1/1978,2.3
1/1/1979,2.1
7/1/1979,2.1
1/1/1980,2
7/1/1980,2.1
1/1/1981,2.3
7/1/1981,2.2
1/1/1982,2.3
7/1/1982,2.5
1/1/1983,2.7
7/1/1983,2.7
1/1/1984,2.8
7/1/1984,2.7
1/1/1985,2.6
7/1/1985,2.8
1/1/1986,2.8
7/1/1986,2.9
1/1/1987,3
7/1/1987,2.8
1/1/1988,2.7
7/1/1988,2.5
1/1/1989,2.4
7/1/1989,2.3
1/1/1990,2.2
7/1/1990,2.2
1/1/1991,2.2
7/1/1991,2.2
1/1/1992,2.2
7/1/1992,2.3
1/1/1993,2.5
7/1/1993,2.7
1/1/1994,3
7/1/1994,3.1
1/1/1995,3.2
7/1/1995,3.4
1/1/1996,3.5
7/1/1996,3.5
1/1/1997,3.5
7/1/1997,3.6
1/1/1998,4
7/1/1998,4.5
1/1/1999,4.9
7/1/1999,4.9
1/1/2000,5
7/1/2000,4.9
1/1/2001,5
7/1/2001,5.5
1/1/2002,5.6
7/1/2002,5.6
1/1/2003,5.7
7/1/2003,5.3
1/1/2004,5
7/1/2004,4.9
1/1/2005,4.7
7/1/2005,4.6
1/1/2006,4.4
7/1/2006,4.3
1/1/2007,4.1
7/1/2007,4
1/1/2008,4.1
7/1/2008,4.2
1/1/2009,5.1
7/1/2009,5.6
1/1/2010,5.4
7/1/2010,5.3
1/1/2011,4.9
7/1/2011,4.7
1/1/2012,4.7
7/1/2012,4.4
1/1/2013,4.4
7/1/2013,4.1
1/1/2014,3.8
7/1/2014,3.7
1/1/2015,3.6
7/1/2015,3.5
1/1/2016,3.4
7/1/2016,3.2
