Date of Data,Close
1/1/2007,16.15
2/1/2007,20.24
3/1/2007,18.22
4/1/2007,17.03
5/1/2007,16.95
6/1/2007,16.53
7/1/2007,21.65
8/1/2007,29.77
9/1/2007,22.28
10/1/2007,24.76
11/1/2007,26.32
12/1/2007,22.23
1/1/2008,38.43
2/1/2008,34.14
3/1/2008,37.6
4/1/2008,27.09
5/1/2008,26.47
6/1/2008,30.26
7/1/2008,24.46
8/1/2008,24.24
9/1/2008,42.11
10/1/2008,92.03
11/1/2008,66.41
12/1/2008,46.31
1/1/2009,53.05
2/1/2009,47.96
3/1/2009,49.78
4/1/2009,33.86
5/1/2009,31.38
6/1/2009,30.51
7/1/2009,28.23
8/1/2009,29.72
9/1/2009,26.85
10/1/2009,25.68
11/1/2009,26.9
12/1/2009,22.43
1/1/2010,28.6
2/1/2010,24.35
3/1/2010,18.66
4/1/2010,21.63
5/1/2010,31.07
6/1/2010,29.42
7/1/2010,26.98
8/1/2010,32.06
9/1/2010,24.74
10/1/2010,22.64
11/1/2010,23.73
12/1/2010,18.79
1/1/2011,19.41
2/1/2011,19.55
3/1/2011,32.9
4/1/2011,22.66
5/1/2011,23.3
6/1/2011,22.35
7/1/2011,24.64
8/1/2011,28.96
9/1/2011,35.36
10/1/2011,24.27
11/1/2011,25.8
12/1/2011,21.48
1/1/2012,20.73
2/1/2012,23.39
3/1/2012,19.42
4/1/2012,20.53
5/1/2012,26.22
6/1/2012,21.84
7/1/2012,20.17
8/1/2012,20.84
9/1/2012,17.87
10/1/2012,19.01
11/1/2012,17.11
12/1/2012,22.45
1/1/2013,23.29
2/1/2013,27.8
3/1/2013,25.67
4/1/2013,25.25
5/1/2013,36.6
6/1/2013,35.17
7/1/2013,28.67
8/1/2013,28.82
9/1/2013,26.36
10/1/2013,21.33
11/1/2013,22.96
12/1/2013,22.84
1/1/2014,29.11
2/1/2014,25.93
3/1/2014,24.2
4/1/2014,22.51
5/1/2014,19.75
6/1/2014,17.34
7/1/2014,16.02
8/1/2014,15.94
9/1/2014,17.55
10/1/2014,25.22
11/1/2014,23.8
12/1/2014,26.36
1/1/2015,21.67
2/1/2015,20.55
3/1/2015,22.71
4/1/2015,21.2
5/1/2015,18.47
6/1/2015,21.41
7/1/2015,17.57
8/1/2015,33.21
9/1/2015,32.19
10/1/2015,23.44
11/1/2015,21.65
12/1/2015,19.47
1/1/2016,31.72
2/1/2016,34.84
3/1/2016,22.71
4/1/2016,27.55
5/1/2016,25.81
6/1/2016,29.67
7/1/2016,26.6
8/1/2016,22.7
9/1/2016,22.14
10/1/2016,19.12
11/1/2016,19.36
12/1/2016,21.17
1/1/2017,20.75
2/1/2017,18.67
3/1/2017,18.55
4/1/2017,16.79
"Monthly index values are compiled based on the daily index values. Dates of monthly data define as the 1st date of the months. This material is a copyrightable work of Nikkei. It is prohibited to copy, reproduce, reprint, or circulate all or part of this material in any form without NikkeiÅEfs permission.",
