Series code,PR01'PRCG15_2200000000%,
,,
Name of time-series,[Producer Price Index] All commodities (Year-on-year change),
2003/03,-0.866666667,
2003/06,-1.066666667,
2003/09,-0.7,
2003/12,-0.4,
2004/03,0.066666667,
2004/06,1,0.01
2004/09,1.766666667,0.017666667
2004/12,2.033333333,0.020333333
2005/03,1.366666667,0.013666667
2005/06,1.7,0.017
2005/09,1.733333333,0.017333333
2005/12,2.133333333,0.021333333
2006/03,2.066666667,0.020666667
2006/06,2.166666667,0.021666667
2006/09,2.6,0.026
2006/12,1.866666667,0.018666667
2007/03,1.333333333,0.013333333
2007/06,1.8,0.018
2007/09,1.566666667,0.015666667
2007/12,2.3,0.023
2008/03,3.533333333,0.035333333
2008/06,4.9,0.049
2008/09,7.3,0.073
2008/12,2.6,0.026
2009/03,-1.833333333,-0.018333333
2009/06,-5.5,-0.055
2009/09,-8.266666667,-0.082666667
2009/12,-5.2,-0.052
2010/03,-1.666666667,-0.016666667
2010/06,0.233333333,0.002333333
2010/09,-0.066666667,-0.000666667
2010/12,1,0.01
2011/03,0.866666667,0.008666667
2011/06,1.766666667,0.017666667
2011/09,2.133333333,0.021333333
2011/12,1.133333333,0.011333333
2012/03,0.333333333,0.003333333
2012/06,-1.033333333,-0.010333333
2012/09,-1.9,-0.019
2012/12,-0.966666667,-0.009666667
2013/03,-0.333333333,-0.003333333
2013/06,0.633333333,0.006333333
2013/09,2.233333333,0.022333333
2013/12,2.533333333,0.025333333
2014/03,2,0.02
2014/06,4.366666667,0.043666667
2014/09,4,0.04
2014/12,2.4,0.024
2015/03,0.466666667,0.004666667
2015/06,-2.233333333,-0.022333333
2015/09,-3.666666667,-0.036666667
2015/12,-3.7,-0.037
2016/03,-3.7,-0.037
2016/06,-4.5,-0.045
2016/09,-3.766666667,-0.037666667
2016/12,-2.066666667,-0.020666667
2017/03,1,0.01
2017/06,,0
2017/09,,0
2017/12,,0
