Series code,CO'COAEF5100601GCQ10000@,CO'COAEF5100608GCQ10000@

Name of time-series,"D.I./Business Conditions/_Banks/Forecast","D.I./Employment Conditions/_Banks/Forecast"
2000/03,  ,
2000/06,  ,
2000/09,  ,
2000/12,  ,
2001/03,  ,
2001/06,  ,
2001/09,  ,
2001/12,  ,
2002/03,  ,
2002/06,  ,
2002/09,  ,
2002/12,  ,
2003/03,  ,
2003/06,  ,
2003/09,  ,
2003/12,  ,
2004/03,  ,
2004/06,43,-3
2004/09,40,-4
2004/12,41,-6
2005/03,37,-5
2005/06,42,-15
2005/09,48,-13
2005/12,43,-16
2006/03,50,-14
2006/06,47,-18
2006/09,47,-14
2006/12,49,-24
2007/03,53,-31
2007/06,47,-21
2007/09,50,-26
2007/12,46,-22
2008/03,41,-25
2008/06,33,-22
2008/09,31,-16
2008/12,18,-13
2009/03,3 ,-7
2009/06,-3,0
2009/09,4 ,3
2009/12,10,0
2010/03,12,3
2010/06,12,7
2010/09,18,4
2010/12,11,6
2011/03,15,2
2011/06,13,5
2011/09,11,4
2011/12,14,4
2012/03,11,7
2012/06,10,2
2012/09,10,3
2012/12,9 ,1
2013/03,9 ,3
2013/06,12,1
2013/09,14,1
2013/12,10,1
2014/03,15,0
2014/06,11,-3
2014/09,16,-4
2014/12,14,0
2015/03,23,-2
2015/06,19,-4
2015/09,20,-2
2015/12,21,-4
2016/03,18,-6
2016/06,8 ,-4
2016/09,3 ,0
2016/12,-3,-6
2017/03,-1,-6
2017/06,-3,-3
2017/09,  ,
2017/12,  ,
