Year,VXJ
20000103,closed
20000104,21.33
20000105,26
20000106,27.01
20000107,25.73
20000110,closed
20000111,23.38
20000112,24.62
20000113,23.92
20000114,23.34
20000117,23.82
20000118,23.44
20000119,23.84
20000120,23.14
20000121,24.27
20000124,23.03
20000125,24.05
20000126,23.37
20000127,23.61
20000128,23.54
20000131,23.33
20000201,23.27
20000202,23.01
20000203,21.36
20000204,19.92
20000207,20.92
20000208,20.73
20000209,20.13
20000210,19.93
20000211,closed
20000214,20.34
20000215,21.62
20000216,21.34
20000217,21.72
20000218,21.13
20000221,22.38
20000222,23.03
20000223,22.63
20000224,21.43
20000225,20.81
20000228,20.87
20000229,20.13
20000301,19.62
20000302,19.79
20000303,19.92
20000306,21.34
20000307,20.93
20000308,22.01
20000309,20.78
20000310,19.46
20000313,22.04
20000314,22.23
20000315,22.71
20000316,21.45
20000317,20.44
20000320,closed
20000321,20.54
20000322,19.72
20000323,19.57
20000324,18.52
20000327,19.45
20000328,19.4
20000329,19.39
20000330,19.66
20000331,20.19
20000403,19.97
20000404,19.27
20000405,19.8
20000406,20.2
20000407,18.79
20000410,18.99
20000411,18.53
20000412,18.95
20000413,19.81
20000414,19.75
20000417,33.13
20000418,31.38
20000419,29.47
20000420,30.18
20000421,30.45
20000424,30.01
20000425,26.91
20000426,25.64
20000427,26.15
20000428,24.56
20000501,23.16
20000502,23.36
20000503,closed
20000504,closed
20000505,closed
20000508,25.55
20000509,26.32
20000510,26.58
20000511,30.38
20000512,26.09
20000515,25.91
20000516,26.64
20000517,24.73
20000518,27.17
20000519,27.3
20000522,31.18
20000523,29.42
20000524,31.32
20000525,29.27
20000526,30.93
20000529,29.44
20000530,29.57
20000531,29.37
20000601,28.13
20000602,28.66
20000605,25.03
20000606,24.87
20000607,24.26
20000608,24.37
20000609,23.87
20000612,23.09
20000613,23.45
20000614,24.52
20000615,23.78
20000616,22.83
20000619,22.5
20000620,22.62
20000621,23.25
20000622,23.68
20000623,24.23
20000626,24.13
20000627,23.8
20000628,23.95
20000629,23.02
20000630,22.85
20000703,22.93
20000704,22.6
20000705,22.21
20000706,22.07
20000707,21.79
20000710,21.66
20000711,21.55
20000712,21.24
20000713,21.33
20000714,20.01
20000717,20.46
20000718,21.15
20000719,21.26
20000720,closed
20000721,21.31
20000724,22.62
20000725,22.69
20000726,22.71
20000727,24.31
20000728,26.07
20000731,24.91
20000801,23.66
20000802,23.91
20000803,25.72
20000804,24.15
20000807,23.17
20000808,23.72
20000809,23.46
20000810,23.96
20000811,23.45
20000814,22.99
20000815,23
20000816,22.64
20000817,23.11
20000818,23.33
