Data Source in SDW: http://sdw.ecb.europa.eu/browseSelection.do?df=true&ec=&dc=&oc=&pb=&rc=&DATASET=0&removeItem=MA&activeTab=&REF_AREA=U2&BLS_ITEM=BC&BLS_ITEM=BSC&BLS_ITEM=CMP&BLS_ITEM=CP&BLS_ITEM=GEA&BLS_ITEM=IFO&BLS_ITEM=LP&BLS_ITEM=MF&BLS_ITEM=MFC&BLS_ITEM=NBC&BLS_ITEM=RCD&BLS_ITEM=RTO&BLS_COUNT_DETAIL=Z&EFFECT_DOMAIN=MA&EFFECT_DOMAIN=ST&BLS_AGG_METHOD=BWDINX&BLS_ITEM=BC&BLS_ITEM=BSC&BLS_ITEM=CMP&BLS_ITEM=CP&BLS_ITEM=GEA&BLS_ITEM=IFO&BLS_ITEM=LP&BLS_ITEM=MF&BLS_ITEM=MFC&BLS_ITEM=NBC&BLS_ITEM=RCD&BLS_ITEM=RTO&BLS_COUNT_DETAIL=Z&EFFECT_DOMAIN=ST&BLS_AGG_METHOD=BWDINX&node=9691600
,BLS.Q.U2.ALL.BC.E.Z.B3.ST.S.BWDINX,BLS.Q.U2.ALL.CP.E.Z.B3.ST.S.BWDINX,BLS.Q.U2.ALL.GEA.E.Z.B3.ST.S.BWDINX,BLS.Q.U2.ALL.IFO.E.Z.B3.ST.S.BWDINX,BLS.Q.U2.ALL.LP.E.Z.B3.ST.S.BWDINX,BLS.Q.U2.ALL.MF.E.Z.B3.ST.S.BWDINX,BLS.Q.U2.ALL.MFC.E.Z.B3.ST.S.BWDINX,BLS.Q.U2.ALL.NBC.E.Z.B3.ST.S.BWDINX,BLS.Q.U2.ALL.RCD.E.Z.B3.ST.S.BWDINX,BLS.Q.U2.ALL.RTO.E.Z.B3.ST.S.BWDINX
,Impact of bank competition,Impact of capital position,Impact of general economic activity,Impact of industry or firm specific situation,Impact of liquidity position,Impact of ability to access market financing,Impact of market financing competition,Impact of non-bank competition,Impact of risk on the collateral demanded,Impact of bank`s risk tolerance
Collection:,Beginning of period (B),Beginning of period (B),Beginning of period (B),Beginning of period (B),Beginning of period (B),Beginning of period (B),Beginning of period (B),Beginning of period (B),Beginning of period (B),Beginning of period (B)
Period\Unit:,[Unit described in title ],[Unit described in title ],[Unit described in title ],[Unit described in title ],[Unit described in title ],[Unit described in title ],[Unit described in title ],[Unit described in title ],[Unit described in title ],[Unit described in title ]
2017Q1,-6.40,1.00,0.17,1.54,-0.27,0.00,-1.45,-0.82,0.98,2.51
2016Q4,-4.52,1.55,-1.69,-2.60,-1.00,0.00,-1.83,-0.81,0.87,0.52
2016Q3,-10.47,1.53,-1.87,-1.90,-1.02,0.00,-2.18,-0.83,1.10,0.90
2016Q2,-11.89,1.01,-1.08,-1.79,-2.93,-1.40,-2.45,-1.43,0.89,0.76
2016Q1,-8.01,0.56,-2.16,-1.94,-0.45,-0.96,-1.32,-1.46,0.50,0.41
2015Q4,-9.06,-0.30,-3.17,-4.74,-0.46,-0.14,-1.56,-1.54,1.05,0.10
2015Q3,-6.76,-1.04,-1.95,-2.54,-2.00,-0.67,-1.89,-1.51,0.11,2.19
2015Q2,-9.20,-1.06,-0.29,-1.16,-4.26,-1.13,-2.17,-0.24,0.77,-0.32
2015Q1,-6.21,-1.92,-0.45,-1.64,-4.51,-1.61,-3.11,-2.14,0.98,-
2014Q4,-5.01,0.25,0.43,1.57,-3.01,-2.25,-2.07,-1.22,0.51,-
2014Q3,-4.01,-0.52,-2.98,-0.88,-1.17,-0.25,-2.48,-1.40,0.45,-
