Year,Impact of market financing competition,Impact of bank competition,Impact of non-bank competition,Impact of capital position,Impact of liquidity position,Impact of general economic activity,Impact of industry or firm specific situation,Impact of ability to access market financing,Impact of risk on the collateral demanded
2017Q1,-1.45,-6.4,-0.82,1,-0.27,0.17,1.54,0,0.98
2016Q4,-1.83,-4.52,-0.81,1.55,-1,-1.69,-2.6,0,0.87
2016Q3,-2.18,-10.47,-0.83,1.53,-1.02,-1.87,-1.9,0,1.1
2016Q2,-2.45,-11.89,-1.43,1.01,-2.93,-1.08,-1.79,-1.4,0.89
2016Q1,-1.32,-8.01,-1.46,0.56,-0.45,-2.16,-1.94,-0.96,0.5
2015Q4,-1.56,-9.06,-1.54,-0.3,-0.46,-3.17,-4.74,-0.14,1.05
2015Q3,-1.89,-6.76,-1.51,-1.04,-2,-1.95,-2.54,-0.67,0.11
2015Q2,-2.17,-9.2,-0.24,-1.06,-4.26,-0.29,-1.16,-1.13,0.77
2015Q1,-3.11,-6.21,-2.14,-1.92,-4.51,-0.45,-1.64,-1.61,0.98
2014Q4,-2.07,-5.01,-1.22,0.25,-3.01,0.43,1.57,-2.25,0.51
2014Q3,-2.48,-4.01,-1.4,-0.52,-1.17,-2.98,-0.88,-0.25,0.45
2014Q2,-2.01,-6.27,-1.9,0.49,-1.08,-3.25,0.04,-0.61,0.15
2014Q1,0,-3.57,0,-0.04,-1.43,0.76,2.13,-0.07,1.05
2013Q4,-1.24,-3.08,-0.24,0.65,-3.33,1.79,5.24,-0.26,1.69
2013Q3,-0.25,-6.32,0,1.66,-1.58,5.49,9.94,-0.79,2.44
2013Q2,-0.78,-2.04,-0.05,2.18,-1.09,9.48,12.06,0.01,3.82
2013Q1,0,0.66,0,5.51,1.18,12.7,15.28,2.69,3.92
2012Q4,0,-1.11,-0.3,4.53,-0.81,17,16.33,2.4,3.7
2012Q3,0,-2.33,0,5.28,1.25,10.62,13.98,2.39,4.69
2012Q2,-0.3,-6,-0.3,6.04,1.43,8.52,11.78,3.46,6.39
2012Q1,0.16,0.96,0.16,10.01,16.08,19.99,17.29,16.09,9.53
2011Q4,0.3,-1.92,0.55,5.84,7.76,8.51,10.95,11,4.2
2011Q3,-0.47,-5.28,-0.21,3.68,5.2,6.26,4.2,5.24,3.24
2011Q2,-1.83,-2.95,0.81,1.92,5.36,4.14,1.99,5.44,1.65
2011Q1,-1.57,-7.04,-0.25,2.71,1.6,2.54,0.85,1.44,3.05
2010Q4,-2.57,-4.99,-1.29,2.88,0.63,4.01,5.67,1.37,4.64
2010Q3,0,-5,0,2.25,2.12,3.32,5.3,4.74,3.86
2010Q2,-1.26,-5.13,-1.35,2.79,-1.95,4.23,10.12,0.98,1.71
2010Q1,-0.14,-1.54,0.41,4.89,-2.71,5.25,10.62,-1.35,6.12
2009Q4,-0.98,-2.36,-0.61,3.59,-4.12,14.28,22.09,-1.44,8.8
2009Q3,0.46,1.16,0.7,7.08,-0.62,29.21,33.19,4.51,15.02
2009Q2,1.5,3.52,1.44,12.56,6.64,35.78,39.16,12.24,18.83
2009Q1,1.5,4.56,2.54,16.97,13.43,45.64,45.55,21.67,22.55
2008Q4,3.79,4.05,2.92,11.75,15.18,40.86,41.71,19.53,19.73
2008Q3,3.68,3.42,2.96,10.26,8.94,28.8,34.08,14.89,11.72
2008Q2,5.88,2.44,3.36,11.87,13.73,26.36,26.79,17.66,10.44
2008Q1,8.87,4.83,5.59,7.32,11.56,21.41,15.91,10.65,11.38
2007Q4,4.49,2.88,2.27,8.28,6.96,12.4,12.43,9.37,7.23
2007Q3,-2.15,-16.98,-1.44,1.12,0.65,-3.64,-0.48,0,0.37
2007Q2,-0.14,-9.81,-3.4,0.9,0.32,-1.74,0.76,0.3,0.33
2007Q1,-0.81,-14,-0.81,1.88,-0.51,-1.7,0.7,1.2,-0.24
2006Q4,-0.82,-13.6,0,3.62,0.33,0.32,5.27,0.12,0.43
2006Q3,0.31,-12.23,0.39,4.12,0.16,2.1,5.33,2.7,1.57
2006Q2,-1.16,-15.55,-1.15,0.23,-1.22,-1.14,2.95,-1.17,1.1
2006Q1,-1.89,-13.42,-0.34,3.69,0.27,1.99,4.3,0.9,-0.7
2005Q4,-2.68,-14.7,-0.34,3.58,0.61,7.22,5.41,1.54,0.31
2005Q3,-2.77,-18.59,-3.33,0.83,-1.09,2.87,4,-0.06,0.31
2005Q2,-2.78,-19.17,-2.36,2.33,-0.55,0.97,7.14,0.26,1.5
2005Q1,-1.12,-9.72,-0.4,2.5,-0.36,7.07,7.86,-1.28,1.55
2004Q4,-2.73,-10.34,-0.27,2.55,-1.12,0.82,5.29,-1.38,-0.13
2004Q3,-2.23,-7.3,0.85,1.41,1.03,1.19,2.88,0.73,1.05
2004Q2,-2.2,-8.88,-0.88,4.32,-0.53,6.69,9.1,2.02,6.13
2004Q1,-0.58,-8.5,-0.84,6.4,0.18,1.8,10.99,-0.63,5.17
2003Q4,2.16,-4.07,1.61,5.08,1.42,17.93,24.16,1.98,9.32
2003Q3,0.76,-2.6,-0.32,3.87,0.33,29.32,30.55,3.71,12.59
2003Q2,0.18,-0.97,-2.9,10.88,3.22,42.64,39.16,10.68,16.11
2003Q1,4.46,1.75,-1.61,19.27,7.81,46.02,50.87,10.6,31.21
