Year,Impact of bank competition,Impact of non-bank competition,Impact of market financing competition,Impact of general economic activity,Impact of capital position,Impact of liquidity position,Impact of industry or firm specific situation,Impact of ability to access market financing,Impact of risk on the collateral demanded
2017Q1,-12.79,-1.63,-2.89,0.34,1.99,-0.53,3.08,0,1.97
2016Q4,-9.04,-1.62,-3.65,-3.38,3.1,-2,-5.2,0,1.75
2016Q3,-20.93,-1.67,-4.36,-3.74,3.07,-2.04,-3.8,0,2.2
2016Q2,-23.73,-2.86,-4.91,-2.15,2.03,-5.83,-3.58,-2.8,1.78
2016Q1,-14.12,-2.92,-2.65,-4.32,0.28,-0.86,-3.89,-1.93,1
2015Q4,-16.22,-3.07,-3.11,-6.34,-0.55,-1.41,-9.47,-0.81,2.1
2015Q3,-10.28,-3.02,-3.77,-3.9,-2.09,-4.5,-5.07,-1.88,0.21
2015Q2,-18.22,-0.49,-4.34,-0.58,-2.09,-8.34,-2.32,-2.26,1.54
2015Q1,-11.52,-3.43,-5.36,-0.91,-3.78,-8.98,-3.32,-3.23,1.96
2014Q4,-9.98,-2.44,-4.09,0.83,0.03,-6,3.11,-3.84,1.02
2014Q3,-7.98,-2.81,-4.9,-6.08,-1.04,-2.43,-1.88,-0.5,0.9
2014Q2,-11.82,-2.57,-3.3,-6.62,0.98,-2.29,-0.05,-1.22,0.17
2014Q1,-6.54,0,0,1.4,-0.19,-2.99,4.14,-0.15,1.98
2013Q4,-6.16,-0.48,-2.47,3.45,1.18,-6.14,10.35,-0.52,3.26
2013Q3,-12.63,0,-0.49,8.98,3.19,-3.28,17.89,-1.57,4.88
2013Q2,-4.08,-0.11,-1.57,16.93,3.81,-2.73,22.19,-0.13,7.54
2013Q1,1.33,0,0,25.29,7.21,1.8,30.46,5.28,7.85
2012Q4,-2.22,-0.6,0,32.99,7.83,-1.78,32.17,4.65,6.9
2012Q3,-4.66,0,0,20.13,9.43,2.51,26.85,4.79,8.27
2012Q2,-12.01,-0.59,-0.59,15.56,10.93,2.85,22.08,6.93,11.78
2012Q1,0.81,-0.8,-0.8,37.34,16.68,25.5,30.51,25.11,18.02
2011Q4,-2.61,1.11,0.61,14.94,10.09,13.8,19.82,19.75,7.88
2011Q3,-10.56,-0.42,-0.95,10.97,6.31,9.34,7.87,8.9,6.48
2011Q2,-5.86,1.63,-3.65,7.22,3.31,9.65,3.97,9.29,3.29
2011Q1,-14.09,-0.5,-3.15,3.46,5.42,2.11,2.51,1.8,6.1
2010Q4,-10.52,-2.58,-5.15,6.93,5.08,0.17,11.35,1.66,9.13
2010Q3,-10.01,0,0,6.09,4.3,4.31,10.05,8.19,7.71
2010Q2,-10.26,-2.7,-2.13,7.65,4.78,-4.7,19.44,1.16,3.15
2010Q1,-3.08,0.83,-0.28,9.56,8.71,-6.48,20.29,-3.77,12.11
2009Q4,-4.72,-1.21,-1.96,25.92,6.33,-8.61,41.55,-3.26,17.24
2009Q3,2.05,1.12,0.66,51.55,12.77,-2.23,54.82,6.37,26.65
2009Q2,6.68,2.61,2.67,60.67,21.48,11.62,61.09,20.11,34.15
2009Q1,9.12,4.17,2.04,80.03,28.86,22.75,77.15,35.73,40.36
2008Q4,8.09,5.07,6,70.32,22.59,27.05,71.86,34.85,34.83
2008Q3,6.85,5.16,6.6,52.14,18.23,16,58.92,27.5,23.27
2008Q2,4.88,5.97,9.23,49.92,22.98,26.13,48.89,32.22,20.88
2008Q1,9.66,7.52,11.73,40.02,14.64,21.71,29.92,20.23,22.75
2007Q4,5.76,4.53,8.47,24.79,15.55,14.42,24.74,15.23,14.46
2007Q3,-33.97,-2.89,-4.3,-7.17,2.23,1.29,-0.83,0,0.74
2007Q2,-19.33,-6.81,-0.28,-1.9,1.79,0.64,1.52,0.6,0.66
2007Q1,-28.01,-1.62,-1.62,-3.29,3.76,-1.01,1.52,2.41,-0.48
2006Q4,-25.56,0,-1.64,0.63,7.24,0.66,10.55,0.25,0.85
2006Q3,-24.34,-1.61,-1.75,4.21,7.62,-0.3,10.66,4.79,3.13
2006Q2,-30.24,-2.31,-2.33,-2.27,0.46,-2.44,5.91,-2.34,2.2
2006Q1,-26.21,-0.69,-3.77,3.99,7.37,0.54,8.61,1.8,-1.4
2005Q4,-29.4,-0.68,-5.37,14.44,7.16,1.23,10.83,3.08,0.62
2005Q3,-33.43,-6.65,-5.54,5.74,1.67,-2.18,8,-0.12,0.63
2005Q2,-35.16,-4.72,-5.56,1.94,4.66,-0.97,13.74,0.52,3.01
2005Q1,-17.11,-0.8,-2.23,14.15,5,-0.72,15.18,-2.56,3.11
2004Q4,-19.51,-0.55,-5.47,1.12,4.58,-2.25,10.06,-2.77,-0.78
2004Q3,-14.52,1.71,-4.45,2.66,2.83,2.06,5.76,1.45,2.09
2004Q2,-17.76,-1.77,-4.4,12.67,8.64,-0.93,17.5,4.04,12.26
2004Q1,-16.99,-1.68,-1.17,2.27,12.67,0.36,20.64,-1.26,10.2
2003Q4,-8.13,2.75,1.58,32.14,10.02,2.36,43.18,1.42,18.03
2003Q3,-5.2,-0.64,-0.71,54.06,7.08,0.66,52.78,7.42,25.04
2003Q2,-1.94,-5.79,-1.86,70.57,18.99,2.2,65.71,15.15,32.09
2003Q1,3.49,-3.22,5.61,77.02,35.15,11.35,83.08,14.81,58.16
