Year,DICS,DILD,STOXX,Inflation,SPF_Infla,RGDP grate lag2,Unemp,SPF_RGDP grate,SPF_Unemp
2001Q1,,,,,,-0.015775954,-0.025077199,0.028,-0.047058824
2001Q2,,,,,,-0.021773408,-0.005935893,0.026,0.012345679
2001Q3,,,,,,0.055664349,0,0.024,0
2001Q4,,,,,,-0.034208583,0.008758042,0.015,0.048780488
2002Q1,,,,,,0.019548274,0.003551697,0.026,-0.023255814
2002Q2,,,,,,0.00694082,0.011403775,0.027,-0.023809524
2002Q3,,,,,,-0.009718891,0.017496113,0.025,-0.012195122
2002Q4,,,,,,0.02206094,0.016048912,0.018,0.037037037
2003Q1,-0.7279,-0.3551,-0.146471673,0.023,0.018,0.037373086,0.015043325,0.023,-0.023809524
2003Q2,-0.4714,-0.3084,0.187862691,0.02,0.017,0.011509048,0.005928084,0.021,0.06097561
2003Q3,-0.4578,-0.2843,-0.009774706,0.02,0.015,0.04677085,0.003314917,0.017,0.022988506
2003Q4,-0.3268,-0.193,0.152258479,0.021,0.016,0.045665192,0.002202643,0.017,0
2004Q1,-0.1919,0.0237,0.009722348,0.017,0.017,-0.000882811,0.016117253,0.022,-0.04494382
2004Q2,0.0174,-0.1931,0.008462811,0.023,0.018,0.01666256,0.001081471,0.021,0
2004Q3,-0.0043,-0.0461,-0.030159227,0.023,0.019,0.019943766,-0.001440475,0.021,0.011764706
2004Q4,-0.0015,-0.1161,0.08250376,0.023,0.019,-0.027272441,0,0.02,0.023255814
2005Q1,-0.0141,-0.0858,0.035405577,0.021,0.018,0.000917206,-0.009015471,0.021,-0.034090909
2005Q2,0.1953,-0.0202,0.041175239,0.02,0.018,0.024025443,0.001819541,0.02,0.011764706
2005Q3,0.3422,-0.0545,0.07762593,0.023,0.018,-0.003794807,-0.013439956,0.018,0.011627907
2005Q4,0.2,0.1707,0.043870369,0.023,0.02,-0.021483662,-0.011045656,0.017,-0.022988506
2006Q1,0.2122,0.2828,0.076788528,0.023,0.02,-0.018592627,-0.023082577,0.019,-0.058823529
2006Q2,0.3296,0.1933,-0.053150965,0.025,0.021,-0.011819905,-0.032012194,0.019,-0.0125
2006Q3,0.2614,0.2525,0.068650638,0.022,0.021,-9.72E-05,-0.027559133,0.018,-0.025316456
