Year,SPF_RGDP,SPF_Infla,SPF_Unemp,,,
1999 Q1,2.4,1.3,10.5,,,
1999 Q2,2.4,1.5,10.2,0,0.153846154,-0.028571429
1999 Q3,2.6,1.5,9.9,0.083333333,0,-0.029411765
1999 Q4,2.8,1.5,9.7,0.076923077,0,-0.02020202
2000 Q1,2.9,1.7,8.8,0.035714286,0.133333333,-0.092783505
2000 Q2,3.1,1.8,8.6,0.068965517,0.058823529,-0.022727273
2000 Q3,3.2,1.8,8.4,0.032258065,0,-0.023255814
2000 Q4,3.1,2,8.5,-0.03125,0.111111111,0.011904762
2001 Q1,2.8,1.7,8.1,-0.096774194,-0.15,-0.047058824
2001 Q2,2.6,1.8,8.2,-0.071428571,0.058823529,0.012345679
2001 Q3,2.4,1.9,8.2,-0.076923077,0.055555556,0
2001 Q4,1.5,1.7,8.6,-0.375,-0.105263158,0.048780488
2002 Q1,2.6,1.8,8.4,0.733333333,0.058823529,-0.023255814
2002 Q2,2.7,1.9,8.2,0.038461538,0.055555556,-0.023809524
2002 Q3,2.5,1.8,8.1,-0.074074074,-0.052631579,-0.012195122
2002 Q4,1.8,1.8,8.4,-0.28,0,0.037037037
2003 Q1,2.3,1.8,8.2,0.277777778,0,-0.023809524
2003 Q2,2.1,1.7,8.7,-0.086956522,-0.055555556,0.06097561
2003 Q3,1.7,1.5,8.9,-0.19047619,-0.117647059,0.022988506
2003 Q4,1.7,1.6,8.9,0,0.066666667,0
2004 Q1,2.2,1.7,8.5,0.294117647,0.0625,-0.04494382
2004 Q2,2.1,1.8,8.5,-0.045454545,0.058823529,0
2004 Q3,2.1,1.9,8.6,0,0.055555556,0.011764706
2004 Q4,2,1.9,8.8,-0.047619048,0,0.023255814
2005 Q1,2.1,1.8,8.5,0.05,-0.052631579,-0.034090909
2005 Q2,2,1.8,8.6,-0.047619048,0,0.011764706
2005 Q3,1.8,1.8,8.7,-0.1,0,0.011627907
2005 Q4,1.7,2,8.5,-0.055555556,0.111111111,-0.022988506
2006 Q1,1.9,2,8,0.117647059,0,-0.058823529
2006 Q2,1.9,2.1,7.9,0,0.05,-0.0125
2006 Q3,1.8,2.1,7.7,-0.052631579,0,-0.025316456
2006 Q4,2,2.1,7.6,0.111111111,0,-0.012987013
2007 Q1,2.1,1.9,7.3,0.05,-0.095238095,-0.039473684
2007 Q2,2.3,1.9,6.9,0.095238095,0,-0.054794521
2007 Q3,2.3,2,6.7,0,0.052631579,-0.028985507
2007 Q4,2.1,2,6.7,-0.086956522,0,0
2008 Q1,2,2,7,-0.047619048,0,0.044776119
2008 Q2,1.6,2.2,7.1,-0.2,0.1,0.014285714
2008 Q3,1.3,2.6,7.4,-0.1875,0.181818182,0.042253521
2008 Q4,0.3,2.2,8,-0.769230769,-0.153846154,0.081081081
2009 Q1,0.6,1.6,9.4,1,-0.272727273,0.175
2009 Q2,0.2,1.3,10.5,-0.666666667,-0.1875,0.117021277
2009 Q3,0.3,1.1,10.9,0.5,-0.153846154,0.038095238
2009 Q4,1,1.2,10.6,2.333333333,0.090909091,-0.027522936
2010 Q1,1.6,1.5,10.5,0.6,0.25,-0.009433962
2010 Q2,1.5,1.5,10.3,-0.0625,0,-0.019047619
2010 Q3,1.4,1.5,10.2,-0.066666667,0,-0.009708738
2010 Q4,1.5,1.5,10,0.071428571,0,-0.019607843
2011 Q1,1.7,1.8,9.6,0.133333333,0.2,-0.04
2011 Q2,1.7,1.9,9.5,0,0.055555556,-0.010416667
2011 Q3,1.6,2,9.5,-0.058823529,0.052631579,0
2011 Q4,0.8,1.8,10,-0.5,-0.1,0.052631579
2012 Q1,1.1,1.7,10.6,0.375,-0.055555556,0.06
2012 Q2,1,1.8,10.9,-0.090909091,0.058823529,0.028301887
2012 Q3,0.6,1.7,11.4,-0.4,-0.055555556,0.04587156
2012 Q4,0.3,1.9,11.6,-0.5,0.117647059,0.01754386
2013 Q1,1.1,1.8,11.9,2.666666667,-0.052631579,0.025862069
2013 Q2,1,1.6,12.2,-0.090909091,-0.111111111,0.025210084
2013 Q3,0.9,1.5,12.4,-0.1,-0.0625,0.016393443
2013 Q4,1,1.5,12.1,0.111111111,0,-0.024193548
2014 Q1,1.5,1.4,11.7,0.5,-0.066666667,-0.033057851
2014 Q2,1.5,1.3,11.5,0,-0.071428571,-0.017094017
2014 Q3,1.5,1.2,11.3,0,-0.076923077,-0.017391304
2014 Q4,1.2,1,11.3,-0.2,-0.166666667,0
2015 Q1,1.5,1.1,10.9,0.25,0.1,-0.03539823
2015 Q2,1.7,1.2,10.6,0.133333333,0.090909091,-0.027522936
2015 Q3,1.8,1.3,10.5,0.058823529,0.083333333,-0.009433962
2015 Q4,1.7,1,10.5,-0.055555556,-0.230769231,0
2016 Q1,1.8,1.4,9.9,0.058823529,0.4,-0.057142857
2016 Q2,1.6,1.3,9.7,-0.111111111,-0.071428571,-0.02020202
2016 Q3,1.4,1.2,9.7,-0.125,-0.076923077,0
2016 Q4,1.4,1.2,9.7,0,0,0
2017 Q1,1.5,1.5,9.2,0.071428571,0.25,-0.051546392
