Year,SPF_RGDP,SPF_Infla,SPF_Unemp,,,
1999 Q1,2.4,1.3,10.5,0.024,0.013,0.105
1999 Q2,2.4,1.5,10.2,0.024,0.015,0.102
1999 Q3,2.6,1.5,9.9,0.026,0.015,0.099
1999 Q4,2.8,1.5,9.7,0.028,0.015,0.097
2000 Q1,2.9,1.7,8.8,0.029,0.017,0.088
2000 Q2,3.1,1.8,8.6,0.031,0.018,0.086
2000 Q3,3.2,1.8,8.4,0.032,0.018,0.084
2000 Q4,3.1,2,8.5,0.031,0.02,0.085
2001 Q1,2.8,1.7,8.1,0.028,0.017,0.081
2001 Q2,2.6,1.8,8.2,0.026,0.018,0.082
2001 Q3,2.4,1.9,8.2,0.024,0.019,0.082
2001 Q4,1.5,1.7,8.6,0.015,0.017,0.086
2002 Q1,2.6,1.8,8.4,0.026,0.018,0.084
2002 Q2,2.7,1.9,8.2,0.027,0.019,0.082
2002 Q3,2.5,1.8,8.1,0.025,0.018,0.081
2002 Q4,1.8,1.8,8.4,0.018,0.018,0.084
2003 Q1,2.3,1.8,8.2,0.023,0.018,0.082
2003 Q2,2.1,1.7,8.7,0.021,0.017,0.087
2003 Q3,1.7,1.5,8.9,0.017,0.015,0.089
2003 Q4,1.7,1.6,8.9,0.017,0.016,0.089
2004 Q1,2.2,1.7,8.5,0.022,0.017,0.085
2004 Q2,2.1,1.8,8.5,0.021,0.018,0.085
2004 Q3,2.1,1.9,8.6,0.021,0.019,0.086
2004 Q4,2,1.9,8.8,0.02,0.019,0.088
2005 Q1,2.1,1.8,8.5,0.021,0.018,0.085
2005 Q2,2,1.8,8.6,0.02,0.018,0.086
2005 Q3,1.8,1.8,8.7,0.018,0.018,0.087
2005 Q4,1.7,2,8.5,0.017,0.02,0.085
2006 Q1,1.9,2,8,0.019,0.02,0.08
2006 Q2,1.9,2.1,7.9,0.019,0.021,0.079
2006 Q3,1.8,2.1,7.7,0.018,0.021,0.077
2006 Q4,2,2.1,7.6,0.02,0.021,0.076
2007 Q1,2.1,1.9,7.3,0.021,0.019,0.073
2007 Q2,2.3,1.9,6.9,0.023,0.019,0.069
2007 Q3,2.3,2,6.7,0.023,0.02,0.067
2007 Q4,2.1,2,6.7,0.021,0.02,0.067
2008 Q1,2,2,7,0.02,0.02,0.07
2008 Q2,1.6,2.2,7.1,0.016,0.022,0.071
2008 Q3,1.3,2.6,7.4,0.013,0.026,0.074
2008 Q4,0.3,2.2,8,0.003,0.022,0.08
2009 Q1,0.6,1.6,9.4,0.006,0.016,0.094
2009 Q2,0.2,1.3,10.5,0.002,0.013,0.105
2009 Q3,0.3,1.1,10.9,0.003,0.011,0.109
2009 Q4,1,1.2,10.6,0.01,0.012,0.106
2010 Q1,1.6,1.5,10.5,0.016,0.015,0.105
2010 Q2,1.5,1.5,10.3,0.015,0.015,0.103
2010 Q3,1.4,1.5,10.2,0.014,0.015,0.102
2010 Q4,1.5,1.5,10,0.015,0.015,0.1
2011 Q1,1.7,1.8,9.6,0.017,0.018,0.096
2011 Q2,1.7,1.9,9.5,0.017,0.019,0.095
2011 Q3,1.6,2,9.5,0.016,0.02,0.095
2011 Q4,0.8,1.8,10,0.008,0.018,0.1
2012 Q1,1.1,1.7,10.6,0.011,0.017,0.106
2012 Q2,1,1.8,10.9,0.01,0.018,0.109
2012 Q3,0.6,1.7,11.4,0.006,0.017,0.114
2012 Q4,0.3,1.9,11.6,0.003,0.019,0.116
2013 Q1,1.1,1.8,11.9,0.011,0.018,0.119
2013 Q2,1,1.6,12.2,0.01,0.016,0.122
2013 Q3,0.9,1.5,12.4,0.009,0.015,0.124
2013 Q4,1,1.5,12.1,0.01,0.015,0.121
2014 Q1,1.5,1.4,11.7,0.015,0.014,0.117
2014 Q2,1.5,1.3,11.5,0.015,0.013,0.115
2014 Q3,1.5,1.2,11.3,0.015,0.012,0.113
2014 Q4,1.2,1,11.3,0.012,0.01,0.113
2015 Q1,1.5,1.1,10.9,0.015,0.011,0.109
2015 Q2,1.7,1.2,10.6,0.017,0.012,0.106
2015 Q3,1.8,1.3,10.5,0.018,0.013,0.105
2015 Q4,1.7,1,10.5,0.017,0.01,0.105
2016 Q1,1.8,1.4,9.9,0.018,0.014,0.099
2016 Q2,1.6,1.3,9.7,0.016,0.013,0.097
2016 Q3,1.4,1.2,9.7,0.014,0.012,0.097
2016 Q4,1.4,1.2,9.7,0.014,0.012,0.097
2017 Q1,1.5,1.5,9.2,0.015,0.015,0.092
