Year,loandemand,DILD
2003Q1,-35.51,-0.3551
2003Q2,-30.84,-0.3084
2003Q3,-28.43,-0.2843
2003Q4,-19.3,-0.193
2004Q1,2.37,0.0237
2004Q2,-19.31,-0.1931
2004Q3,-4.61,-0.0461
2004Q4,-11.61,-0.1161
2005Q1,-8.58,-0.0858
2005Q2,-2.02,-0.0202
2005Q3,-5.45,-0.0545
2005Q4,17.07,0.1707
2006Q1,28.28,0.2828
2006Q2,19.33,0.1933
2006Q3,25.25,0.2525
2006Q4,17.55,0.1755
2007Q1,24.99,0.2499
2007Q2,15.04,0.1504
2007Q3,15.52,0.1552
2007Q4,1.28,0.0128
2008Q1,1.38,0.0138
2008Q2,-16.01,-0.1601
2008Q3,-13.42,-0.1342
2008Q4,-20.99,-0.2099
2009Q1,-40.42,-0.4042
2009Q2,-34.5,-0.345
2009Q3,-33.09,-0.3309
2009Q4,-21.77,-0.2177
2010Q1,-8.6,-0.086
2010Q2,-12.46,-0.1246
2010Q3,-0.48,-0.0048
2010Q4,6.04,0.0604
2011Q1,10.68,0.1068
2011Q2,19.67,0.1967
2011Q3,6.79,0.0679
2011Q4,-4.75,-0.0475
2012Q1,-4.66,-0.0466
2012Q2,-32.48,-0.3248
2012Q3,-30.58,-0.3058
2012Q4,-29.17,-0.2917
2013Q1,-30.71,-0.3071
2013Q2,-27.61,-0.2761
2013Q3,-21.72,-0.2172
2013Q4,-12.25,-0.1225
2014Q1,-8.65,-0.0865
2014Q2,2.38,0.0238
2014Q3,4.89,0.0489
2014Q4,5.83,0.0583
2015Q1,19.09,0.1909
2015Q2,-0.1,-0.001
2015Q3,13.8,0.138
2015Q4,16.43,0.1643
2016Q1,26.81,0.2681
2016Q2,16.87,0.1687
2016Q3,16.79,0.1679
2016Q4,10.77,0.1077
2017Q1,16.11,0.1611
