Data Source in SDW: http://sdw.ecb.europa.eu/browseSelection.do?df=true&ec=&dc=&oc=&pb=&rc=&DATASET=0&removeItem=&activeTab=&REF_AREA=308&BLS_ITEM=MAL&BLS_COUNT=E&BLS_ITEM=MAL&BLS_COUNT=E&BLS_AGG_METHOD=BWFNET&node=1537
,BLS.Q.U2.ALL.MAL.E.Z.B3.TC.S.BWFNET
,Euro area (changing composition) - All banks - Question on Margin on average loans - contract counterpart Enterprise - Backward looking three months - domain of Credit terms and conditions - Loan supply - Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate and of each bank in the total loan outstanding amount of the BLS banks sample
Collection:,Beginning of period (B)
Period\Unit:,[Unit described in title ]
2017Q1,-19.57
2016Q4,-30.43
2016Q3,-31.17
2016Q2,-21.27
2016Q1,-25.69
2015Q4,-32.29
2015Q3,-32.21
2015Q2,-35.62
2015Q1,-25.22
2014Q4,-22.11
2014Q3,-25.22
2014Q2,-15.14
2014Q1,-4.77
2013Q4,-9.05
2013Q3,-2.10
2013Q2,12.27
2013Q1,22.51
2012Q4,22.72
2012Q3,28.87
2012Q2,23.09
2012Q1,44.45
2011Q4,19.96
2011Q3,-2.14
2011Q2,-1.39
2011Q1,-3.07
2010Q4,-0.54
2010Q3,-4.37
2010Q2,1.52
2010Q1,4.01
2009Q4,12.22
2009Q3,32.90
2009Q2,57.85
2009Q1,60.06
2008Q4,68.20
2008Q3,56.12
2008Q2,60.58
2008Q1,43.24
2007Q4,14.05
2007Q3,-13.53
2007Q2,-27.70
2007Q1,-21.18
2006Q4,-20.22
2006Q3,-26.14
2006Q2,-32.96
2006Q1,-21.22
2005Q4,-20.00
2005Q3,-34.22
2005Q2,-19.53
2005Q1,1.41
2004Q4,0.15
2004Q3,0.43
2004Q2,-1.74
2004Q1,19.19
2003Q4,32.68
2003Q3,45.78
2003Q2,47.14
2003Q1,72.79
