Year,DICSLM,Uncertainty econ positive,Uncertainty econ negative,Competition positive,Competition negative,Capital position positive,Capital position negative,Industrial prob positive,Industry prob negative,Risk tolerance positive,Risk tolerance negative,Loan liquidity positive,Loan liquidity negative
1/1/1999,-0.314,0,-0.707954545,0.272045455,-0.250568182,0.0675,-0.135227273,0,-0.548863636,0.09,-0.342045455,0.0225,-0.501136364
4/1/1999,-0.071,0.142857143,-0.430714286,0.476785714,-0.057857143,0,-0.070714286,0.117857143,-0.430714286,0.071428571,-0.546428571,0.096428571,-0.122142857
7/1/1999,-0.215,0.029117647,-0.473529412,0.279852941,-0.043970588,0.029117647,-0.027058824,0.058235294,-0.500588235,0.058235294,-0.412647059,0.058235294,-0.202941176
10/1/1999,-0.236,0.081081081,-0.700540541,0.256756757,-0.135,0.054054054,-0.08027027,0.081081081,-0.62027027,0.054054054,-0.54,0.027027027,-0.35027027
1/1/2000,-0.25,0.083333333,-0.623333333,0.104166667,-0.087083333,0,-0.045833333,0,-0.504166667,0.083333333,-0.669166667,0,-0.33
4/1/2000,-0.352,0,-0.834651163,0.092790698,-0.094651163,0.055813953,-0.094651163,0,-0.533488372,0.02372093,-0.722790698,0,-0.352790698
7/1/2000,-0.358,0.023809524,-0.977142857,0.083333333,-0.095,0,-0.072380952,0.023809524,-0.642380952,0,-0.787142857,0,-0.425238095
10/1/2000,-0.544,0.020816327,-1.000408163,0.132857143,-0.245714286,0,-0.149183673,0,-0.86,0.040408163,-0.772244898,0,-0.491428571
1/1/2001,-0.571,0.022222222,-1.337777778,0.055555556,-0.258,0,-0.133777778,0.022222222,-1.108444444,0,-1.003333333,0,-0.668888889
4/1/2001,-0.444,0,-1.418666667,0.078,-0.144666667,0,-0.242666667,0,-1.204,0,-0.952,0,-0.513333333
7/1/2001,-0.508,0.065217391,-1.24326087,0,-0.411304348,0,-0.130869565,0.065217391,-1.065652174,0.021521739,-0.785217391,0.021521739,-0.280434783
10/1/2001,-0.589,0.022727273,-1.592954545,0.045454545,-0.254090909,0.022727273,-0.087954545,0.022727273,-1.250909091,0,-0.723181818,0,-0.390909091
1/1/2002,-0.4,0,-1.3205,0.05,-0.304,0,-0.0285,0,-0.9785,0,-0.8265,0,-0.304
4/1/2002,-0.237,0,-0.776451613,0.032258065,-0.224516129,0,0,0,-0.710967742,0,-0.776451613,0,-0.318064516
7/1/2002,-0.411,0.051282051,-0.924102564,0.128205128,-0.226666667,0,-0.104615385,0.025641026,-0.714871795,0.051282051,-0.662564103,0,-0.383589744
10/1/2002,-0.291,0,-0.918648649,0.054054054,-0.187297297,0,-0.053513514,0,-0.570810811,0,-0.704594595,0,-0.401351351
1/1/2003,-0.271,0.055555556,-0.888888889,0.138888889,-0.168888889,0,-0.08,0.055555556,-0.782222222,0.027777778,-0.72,0,-0.444444444
4/1/2003,-0.146,0.025,-0.825,0.375,-0.1725,0,-0.0975,0,-0.675,0.05,-0.675,0,-0.2775
7/1/2003,0.123,0.175,-0.4745,0.5005,-0.0975,0.1015,-0.026,0.126,-0.4745,0.1015,-0.572,0.126,-0.0975
10/1/2003,0.138,0.428857143,-0.370285714,0.656857143,-0.114285714,0.059714286,0,0.200857143,-0.256,0.200857143,-0.429714286,0.141142857,-0.141714286
1/1/2004,0.268,0.605263158,-0.157368421,0.763157895,-0.027368421,0.052631579,0,0.210526316,-0.157368421,0.289473684,-0.263421053,0.210526316,0
4/1/2004,0.386,0.370526316,-0.192982456,0.64,0,0.078596491,-0.144736842,0.291929825,-0.096491228,0.269473684,-0.245614035,0.095438596,0
7/1/2004,0.308,0.428451883,-0.204351464,0.814058577,0,0.107112971,-0.051087866,0.235648536,-0.362259414,0.214225941,-0.41334728,0.171380753,0
10/1/2004,0.5,0.493376623,-0.164502165,0.833636364,0,0.1304329,-0.056277056,0.204155844,-0.372294372,0.243852814,-0.324675325,0.187142857,0
1/1/2005,0.455,0.563142857,-0.144,1.141714286,-0.029714286,0.200571429,-0.029714286,0.27,-0.260571429,0.486,-0.171428571,0.316285714,-0.029714286
4/1/2005,0.704,0.538181818,-0.095454545,1.522045455,-0.031818182,0.159772727,0,0.218636364,-0.095454545,0.420454545,-0.079545455,0.395227273,0
7/1/2005,0.463,0.465384615,-0.050769231,1.387692308,-0.026153846,0.152307692,-0.026153846,0.253846154,-0.103076923,0.490769231,-0.026153846,0.262307692,-0.026153846
10/1/2005,0.456,0.189,-0.186,1.218,0,0.063,0,0.021,-0.162,0.364,-0.114,0.147,-0.024
1/1/2006,0.425,0.21627907,-0.161860465,1.11744186,-0.092093023,0.072093023,-0.04744186,0.144186047,-0.231627907,0.324418605,-0.186976744,0.230697674,-0.092093023
4/1/2006,0.597,0.154375,-0.140625,1.356875,0,0,0,0.065,-0.125625,0.333125,-0.118125,0.381875,-0.024375
7/1/2006,0.418,0.226829268,-0.195853659,1.192682927,-0.048292683,0.087804878,0,0.109756098,-0.147560976,0.226829268,-0.171707317,0.270731707,-0.048292683
10/1/2006,0.296,0.16,-0.283333333,1.173333333,-0.103333333,0.026666667,-0.05,0.026666667,-0.206666667,0.133333333,-0.206666667,0.213333333,-0.05
