DATE,CORBLT100S
1985-01-01,0.92
1985-04-01,0.81
1985-07-01,1.16
1985-10-01,1.07
1986-01-01,1.07
1986-04-01,1.09
1986-07-01,1.17
1986-10-01,1.07
1987-01-01,0.91
1987-04-01,0.87
1987-07-01,0.84
1987-10-01,0.87
1988-01-01,1.00
1988-04-01,1.08
1988-07-01,0.81
1988-10-01,0.75
1989-01-01,0.73
1989-04-01,0.68
1989-07-01,0.69
1989-10-01,1.57
1990-01-01,1.35
1990-04-01,1.32
1990-07-01,1.06
1990-10-01,1.16
1991-01-01,1.19
1991-04-01,1.77
1991-07-01,2.13
1991-10-01,1.84
1992-01-01,2.01
1992-04-01,1.17
1992-07-01,1.25
1992-10-01,1.03
1993-01-01,0.89
1993-04-01,0.82
1993-07-01,0.70
1993-10-01,0.53
1994-01-01,0.29
1994-04-01,0.21
1994-07-01,0.13
1994-10-01,0.17
1995-01-01,0.16
1995-04-01,0.03
1995-07-01,0.31
1995-10-01,0.23
1996-01-01,0.27
1996-04-01,0.22
1996-07-01,0.14
1996-10-01,0.10
1997-01-01,0.14
1997-04-01,0.17
1997-07-01,0.30
1997-10-01,0.24
1998-01-01,0.30
1998-04-01,0.30
1998-07-01,0.37
1998-10-01,0.46
1999-01-01,0.46
1999-04-01,0.52
1999-07-01,0.53
1999-10-01,0.58
2000-01-01,0.59
2000-04-01,0.70
2000-07-01,0.71
2000-10-01,0.98
2001-01-01,1.11
2001-04-01,1.28
2001-07-01,1.54
2001-10-01,1.85
2002-01-01,1.82
2002-04-01,2.07
2002-07-01,2.51
2002-10-01,1.45
2003-01-01,1.83
2003-04-01,1.56
2003-07-01,1.38
2003-10-01,0.87
2004-01-01,0.84
2004-04-01,0.58
2004-07-01,0.38
2004-10-01,0.31
2005-01-01,0.20
2005-04-01,0.17
2005-07-01,0.12
2005-10-01,0.26
2006-01-01,0.17
2006-04-01,0.21
2006-07-01,0.26
2006-10-01,0.29
2007-01-01,0.35
2007-04-01,0.41
2007-07-01,0.43
2007-10-01,0.67
2008-01-01,0.72
2008-04-01,0.84
2008-07-01,1.02
2008-10-01,1.29
2009-01-01,2.00
2009-04-01,2.47
2009-07-01,2.66
2009-10-01,2.32
2010-01-01,2.11
2010-04-01,1.89
2010-07-01,1.71
2010-10-01,1.26
2011-01-01,1.14
2011-04-01,0.78
2011-07-01,0.66
2011-10-01,0.62
2012-01-01,0.50
2012-04-01,0.49
2012-07-01,0.43
2012-10-01,0.27
2013-01-01,0.33
2013-04-01,0.27
2013-07-01,0.24
2013-10-01,0.22
2014-01-01,0.21
2014-04-01,0.19
2014-07-01,0.18
2014-10-01,0.21
2015-01-01,0.16
2015-04-01,0.21
2015-07-01,0.24
2015-10-01,0.31
2016-01-01,0.42
2016-04-01,0.45
2016-07-01,0.43
2016-10-01,0.39
