DATE,CP_PCH
1947-04-01,-5.47945
1947-07-01,-0.96618
1947-10-01,8.78049
1948-01-01,5.82960
1948-04-01,5.08475
1948-07-01,-1.61290
1948-10-01,-3.68852
1949-01-01,-8.51064
1949-04-01,-11.62791
1949-07-01,3.15789
1949-10-01,-1.53061
1950-01-01,2.59067
1950-04-01,19.19192
1950-07-01,21.18644
1950-10-01,9.79021
1951-01-01,-16.87898
1951-04-01,-14.55939
1951-07-01,-8.07175
1951-10-01,8.78049
1952-01-01,-2.24215
1952-04-01,-3.66972
1952-07-01,1.42857
1952-10-01,9.85915
1953-01-01,3.84615
1953-04-01,0.00000
1953-07-01,-2.05761
1953-10-01,-20.16807
1954-01-01,13.68421
1954-04-01,2.77778
1954-07-01,6.30631
1954-10-01,7.20339
1955-01-01,12.25296
1955-04-01,1.40845
1955-07-01,2.77778
1955-10-01,4.05405
1956-01-01,-1.94805
1956-04-01,2.98013
1956-07-01,-4.18006
1956-10-01,5.36913
1957-01-01,0.95541
1957-04-01,-4.10095
1957-07-01,-2.30263
1957-10-01,-8.08081
1958-01-01,-13.55311
1958-04-01,1.69492
1958-07-01,10.83333
1958-10-01,12.78195
1959-01-01,6.66667
1959-04-01,8.43750
1959-07-01,-9.51009
1959-10-01,-1.91083
1960-01-01,9.41558
1960-04-01,-6.82493
1960-07-01,-4.14013
1960-10-01,-3.32226
1961-01-01,-2.06186
1961-04-01,5.26316
1961-07-01,5.33333
1961-10-01,7.27848
1962-01-01,1.47493
1962-04-01,0.00000
1962-07-01,2.90698
1962-10-01,2.25989
1963-01-01,-0.82873
1963-04-01,5.29248
1963-07-01,2.64550
1963-10-01,2.31959
1964-01-01,8.06045
1964-04-01,-0.23310
1964-07-01,2.57009
1964-10-01,-0.91116
1965-01-01,13.79310
1965-04-01,3.63636
1965-07-01,1.75439
1965-10-01,5.74713
1966-01-01,2.71739
1966-04-01,0.52910
1966-07-01,-0.52632
1966-10-01,-1.76367
1967-01-01,-4.30880
1967-04-01,0.18762
1967-07-01,2.43446
1967-10-01,4.93601
1968-01-01,-1.56794
1968-04-01,2.83186
1968-07-01,0.68847
1968-10-01,2.56410
1969-01-01,-1.33333
1969-04-01,-3.04054
1969-07-01,-3.13589
1969-10-01,-1.97842
1970-01-01,-4.77064
1970-04-01,-0.38536
1970-07-01,1.74081
1970-10-01,-5.32319
1971-01-01,13.85542
1971-04-01,4.40917
1971-07-01,6.75676
1971-10-01,3.48101
1972-01-01,6.42202
1972-04-01,1.43678
1972-07-01,4.53258
1972-10-01,8.67209
1973-01-01,14.46384
1973-04-01,3.37691
1973-07-01,1.79136
1973-10-01,4.96894
1974-01-01,6.01578
1974-04-01,2.41860
1974-07-01,4.63215
1974-10-01,-11.28472
1975-01-01,-12.72016
1975-04-01,5.38117
1975-07-01,17.65957
1975-10-01,7.23327
1976-01-01,6.99831
1976-04-01,3.07329
1976-07-01,1.60550
1976-10-01,0.15049
1977-01-01,8.11420
1977-04-01,6.18485
1977-07-01,4.18848
1977-10-01,0.62814
1978-01-01,3.37079
1978-04-01,11.17150
1978-07-01,3.47637
1978-10-01,6.03675
1979-01-01,1.13861
1979-04-01,3.81791
1979-07-01,1.93305
1979-10-01,-1.98890
1980-01-01,-0.14158
1980-04-01,-13.79962
1980-07-01,4.82456
1980-10-01,3.03347
1981-01-01,1.62437
1981-04-01,-6.09391
1981-07-01,2.34043
1981-10-01,-2.02703
1982-01-01,-10.71618
1982-04-01,0.83185
1982-07-01,-2.59281
1982-10-01,-3.20629
1983-01-01,1.37500
1983-04-01,11.89889
1983-07-01,5.89532
1983-10-01,2.49740
1984-01-01,3.90863
1984-04-01,0.24426
1984-07-01,-4.48343
1984-10-01,0.51020
1985-01-01,-5.27919
1985-04-01,0.58950
1985-07-01,2.50400
1985-10-01,0.98753
1986-01-01,-18.63098
1986-04-01,-1.96078
1986-07-01,-0.51613
1986-10-01,2.91829
1987-01-01,7.56144
1987-04-01,15.81722
1987-07-01,7.28376
1987-10-01,4.14899
1988-01-01,5.43232
1988-04-01,6.74109
1988-07-01,-0.60338
1988-10-01,4.53258
1989-01-01,-1.70345
1989-04-01,-2.87515
1989-07-01,-4.13625
1989-10-01,0.00000
