DATE,DRISCFS
1990-04-01,7.2
1990-07-01,17.2
1990-10-01,33.9
1991-01-01,37.5
1991-04-01,25.4
1991-07-01,14.0
1991-10-01,12.0
1992-01-01,11.9
1992-04-01,7.1
1992-07-01,5.2
1992-10-01,-7.1
1993-01-01,0.0
1993-04-01,-10.7
1993-07-01,-16.9
1993-10-01,-31.0
1994-01-01,-19.3
1994-04-01,-26.8
1994-07-01,-21.1
1994-10-01,-24.5
1995-01-01,-28.1
1995-04-01,-29.3
1995-07-01,-19.3
1995-10-01,-12.2
1996-01-01,-7.0
1996-04-01,-17.4
1996-07-01,-5.6
1996-10-01,-27.2
1997-01-01,-11.1
1997-04-01,-12.3
1997-07-01,-25.5
1997-10-01,-40.4
1998-01-01,-24.1
1998-04-01,-25.0
1998-07-01,-30.4
1998-10-01,18.9
1999-01-01,5.7
1999-04-01,1.8
1999-07-01,5.5
1999-10-01,-1.9
2000-01-01,10.0
2000-04-01,16.0
2000-07-01,25.4
2000-10-01,26.9
2001-01-01,28.9
2001-04-01,22.3
2001-07-01,38.2
2001-10-01,41.8
2002-01-01,36.4
2002-04-01,13.2
2002-07-01,20.0
2002-10-01,14.8
2003-01-01,15.5
2003-04-01,11.1
2003-07-01,-3.6
2003-10-01,-10.5
2004-01-01,-16.7
2004-04-01,-25.5
2004-07-01,-29.1
2004-10-01,-38.2
2005-01-01,-26.0
2005-04-01,-54.7
2005-07-01,-37.7
2005-10-01,-36.8
2006-01-01,-33.4
2006-04-01,-45.6
2006-07-01,-21.5
2006-10-01,-31.5
2007-01-01,-29.6
2007-04-01,-37.2
2007-07-01,-32.7
2007-10-01,21.1
2008-01-01,40.1
2008-04-01,63.6
2008-07-01,71.1
2008-10-01,92.7
2009-01-01,88.5
2009-04-01,75.0
2009-07-01,64.2
2009-10-01,42.9
2010-01-01,14.8
2010-04-01,9.3
2010-07-01,-32.7
2010-10-01,-21.4
2011-01-01,-29.6
2011-04-01,-50.0
2011-07-01,-42.3
2011-10-01,-47.9
2012-01-01,-43.4
2012-04-01,-50.9
2012-07-01,-45.9
2012-10-01,-50.0
2013-01-01,-50.8
2013-04-01,-57.8
2013-07-01,-51.4
2013-10-01,-50.0
2014-01-01,-51.4
2014-04-01,-52.1
2014-07-01,-44.4
2014-10-01,-41.7
2015-01-01,-35.7
2015-04-01,-39.4
2015-07-01,-36.2
2015-10-01,-25.8
2016-01-01,-18.3
2016-04-01,-4.4
2016-07-01,-13.0
2016-10-01,-6.0
2017-01-01,-9.0
