date,gz_spread,ebp,est_prob
JAN1973,1.1023,0.0011,0.2311496692
FEB1973,1.0387,-0.0277,0.2197889739
MAR1973,0.9808,-0.1193,0.1858660769
APR1973,0.9432,-0.1706,0.1683765
MAY1973,1.0019,-0.0796,0.2001648714
JUN1973,1.1291,0.0037,0.2322093046
JUL1973,0.9283,-0.3761,0.1092329535
AUG1973,0.9527,-0.2235,0.1514639579
SEP1973,0.7661,-0.3559,0.1142718557
OCT1973,1.2197,0.1017,0.2732904527
NOV1973,1.3068,0.0171,0.2376209153
DEC1973,1.2258,-0.0492,0.2115160887
JAN1974,1.1027,-0.0766,0.2012681343
FEB1974,1.2365,0.1321,0.2867323246
MAR1974,1.1515,-0.1500,0.175258806
APR1974,1.1512,0.0082,0.2340131125
MAY1974,1.1901,0.0182,0.2380563583
JUN1974,1.6957,0.5805,0.5104659045
JUL1974,2.3912,1.0521,0.740815222
AUG1974,1.8558,0.6831,0.5639714436
SEP1974,2.1041,0.7520,0.5992972964
OCT1974,2.3090,0.7921,0.6195127446
NOV1974,2.1307,0.8652,0.6555199326
DEC1974,2.4326,0.9909,0.7141304704
JAN1975,1.6119,0.3126,0.3723231027
FEB1975,1.5193,0.3394,0.3856881851
MAR1975,1.7706,0.5107,0.47392015
APR1975,1.4252,0.1516,0.2955111547
MAY1975,1.4862,0.2904,0.3612973628
JUN1975,1.3561,0.1792,0.3081620998
JUL1975,1.3934,0.3105,0.3712403962
AUG1975,1.3702,0.2290,0.3315703103
SEP1975,1.3248,0.2342,0.3340206835
OCT1975,1.2561,0.0485,0.2505522083
NOV1975,1.2413,0.1424,0.2913742006
DEC1975,1.1717,-0.0783,0.2006223311
JAN1976,0.9577,-0.1397,0.1787818701
FEB1976,1.0515,-0.0478,0.2120472236
MAR1976,0.9902,-0.0975,0.1936505545
APR1976,1.0266,-0.0464,0.2125954029
MAY1976,0.9984,-0.1146,0.1875407108
JUN1976,0.9891,-0.0353,0.2168390016
JUL1976,0.9550,-0.0646,0.2057173378
AUG1976,0.8834,-0.1444,0.1771610335
SEP1976,0.8305,-0.1781,0.1659132998
OCT1976,0.9044,-0.1071,0.1902045588
NOV1976,0.8157,-0.3212,0.1233285344
DEC1976,1.0926,-0.0093,0.2270092922
JAN1977,0.9694,-0.3053,0.1276482511
FEB1977,0.9220,-0.1698,0.1686469268
MAR1977,0.9109,-0.1307,0.1818784017
APR1977,0.8491,-0.2172,0.153433916
MAY1977,0.7924,-0.2211,0.1522181406
JUN1977,0.8387,-0.2432,0.1454793108
JUL1977,0.8904,-0.1542,0.1738602583
AUG1977,0.9450,-0.1734,0.167450458
SEP1977,0.9578,-0.1337,0.1808549326
OCT1977,0.9563,-0.1475,0.1760966765
NOV1977,0.9509,-0.1333,0.1809692172
DEC1977,0.7986,-0.3344,0.1198156494
JAN1978,0.7662,-0.3432,0.1175249024
FEB1978,0.7206,-0.3462,0.1167701165
MAR1978,0.7291,-0.3470,0.1165424958
APR1978,0.7400,-0.2925,0.1311744009
MAY1978,0.7780,-0.2604,0.1403791163
JUN1978,0.6243,-0.4585,0.0902968348
JUL1978,0.6241,-0.3663,0.1116596439
AUG1978,0.6039,-0.3967,0.1042439601
SEP1978,0.6440,-0.3270,0.1217869704
OCT1978,0.5590,-0.5332,0.0753586509
NOV1978,0.6637,-0.2813,0.1343387685
DEC1978,0.6400,-0.4356,0.0952887416
