DATE,GDP_PCH
1947-04-01,1.31633
1947-07-01,1.54283
1947-10-01,4.07837
1948-01-01,2.26662
1948-04-01,2.51690
1948-07-01,2.41847
1948-10-01,0.42934
1949-01-01,-1.88814
1949-04-01,-1.34350
1949-07-01,0.58888
1949-10-01,-0.84157
1950-01-01,3.76384
1950-04-01,3.37838
1950-07-01,6.12315
1950-10-01,3.82496
1951-01-01,5.02654
1951-04-01,2.40785
1951-07-01,2.11901
1951-10-01,1.36441
1952-01-01,1.00953
1952-04-01,0.33315
1952-07-01,1.85390
1952-10-01,3.55882
1953-01-01,1.91501
1953-04-01,0.97812
1953-07-01,-0.15294
1953-10-01,-1.32755
1954-01-01,-0.15524
1954-04-01,0.20731
1954-07-01,1.26713
1954-10-01,2.22165
1955-01-01,3.37247
1955-04-01,2.02997
1955-07-01,2.06063
1955-10-01,1.60130
1956-01-01,0.61672
1956-04-01,1.43019
1956-07-01,1.16383
1956-10-01,2.05752
1957-01-01,2.01604
1957-04-01,0.46749
1957-07-01,1.58629
1957-10-01,-0.95773
1958-01-01,-1.53458
1958-04-01,0.93937
1958-07-01,2.93993
1958-10-01,2.81488
1959-01-01,2.13829
1959-04-01,2.56310
1959-07-01,0.19077
1959-10-01,0.78065
1960-01-01,2.64500
1960-04-01,-0.11044
1960-07-01,0.60807
1960-10-01,-0.89744
1961-01-01,0.88708
1961-04-01,2.10661
1961-07-01,1.93757
1961-10-01,2.35832
1962-01-01,2.33838
1962-04-01,1.24328
1962-07-01,1.16163
1962-10-01,0.57415
1963-01-01,1.56581
1963-04-01,1.46138
1963-07-01,2.08927
1963-10-01,1.51938
1964-01-01,2.48931
1964-04-01,1.44539
1964-07-01,1.76263
1964-10-01,0.80831
1965-01-01,2.97824
1965-04-01,1.83537
1965-07-01,2.43037
1965-10-01,3.05252
1966-01-01,3.13025
1966-04-01,1.24169
1966-07-01,1.68484
1966-10-01,1.71784
1967-01-01,1.32950
1967-04-01,0.60284
1967-07-01,1.82117
1967-10-01,1.91553
1968-01-01,3.15897
1968-04-01,2.76589
1968-07-01,1.70885
1968-10-01,1.86916
1969-01-01,2.60798
1969-04-01,1.60739
1969-07-01,2.03678
1969-10-01,0.84302
1970-01-01,1.22994
1970-04-01,1.57570
1970-07-01,1.71947
1970-10-01,0.27561
1971-01-01,4.24187
1971-04-01,1.89840
1971-07-01,1.80266
1971-10-01,1.12683
1972-01-01,3.36796
1972-04-01,2.94213
1972-07-01,1.86599
1972-10-01,2.95254
1973-01-01,3.65616
1973-04-01,2.67256
1973-07-01,1.35440
1973-10-01,2.94404
1974-01-01,1.05470
1974-04-01,2.64267
1974-07-01,1.90327
1974-10-01,2.53294
1975-01-01,1.03556
1975-04-01,2.27217
1975-07-01,3.46535
1975-10-01,3.04003
1976-01-01,3.31842
1976-04-01,1.77583
1976-07-01,1.80947
1976-10-01,2.53372
1977-01-01,2.79096
1977-04-01,3.39774
1977-07-01,3.01912
1977-10-01,2.18149
1978-01-01,1.84442
1978-04-01,5.79074
1978-07-01,2.66627
1978-10-01,3.47242
1979-01-01,1.99017
1979-04-01,2.53990
1979-07-01,2.86991
1979-10-01,2.25809
1980-01-01,2.40964
1980-04-01,0.12158
1980-07-01,2.14651
1980-10-01,4.66783
1981-01-01,4.62001
1981-04-01,1.13353
1981-07-01,2.96467
1981-10-01,0.68380
1982-01-01,-0.29542
1982-04-01,1.75637
1982-07-01,1.07466
1982-10-01,1.20876
1983-01-01,2.12747
1983-04-01,2.97388
1983-07-01,3.02751
1983-10-01,2.81126
1984-01-01,3.07421
1984-04-01,2.61194
1984-07-01,1.80324
1984-10-01,1.47282
1985-01-01,2.15546
1985-04-01,1.54118
1985-07-01,2.14536
1985-10-01,1.33118
1986-01-01,1.41924
1986-04-01,0.86132
1986-07-01,1.41377
1986-10-01,1.07802
1987-01-01,1.43059
1987-04-01,1.80102
1987-07-01,1.63849
1987-10-01,2.49362
1988-01-01,1.35186
1988-04-01,2.30032
1988-07-01,1.76277
1988-10-01,2.13605
1989-01-01,2.11909
1989-04-01,1.82726
1989-07-01,1.47822
1989-10-01,0.90693
1990-01-01,2.21050
1990-04-01,1.42425
1990-07-01,0.91720
1990-10-01,-0.10283
1991-01-01,0.52463
1991-04-01,1.46493
1991-07-01,1.21753
1991-10-01,0.97935
1992-01-01,1.61642
1992-04-01,1.74743
1992-07-01,1.45095
1992-10-01,1.68678
1993-01-01,0.75549
1993-04-01,1.20625
1993-07-01,1.09230
1993-10-01,1.86263
1994-01-01,1.47168
1994-04-01,1.87072
1994-07-01,1.13483
1994-10-01,1.69199
1995-01-01,0.91752
1995-04-01,0.78990
1995-07-01,1.33598
1995-10-01,1.20677
1996-01-01,1.20008
1996-04-01,2.13351
1996-07-01,1.20945
1996-10-01,1.57005
1997-01-01,1.38770
1997-04-01,1.78289
1997-07-01,1.63589
1997-10-01,1.11024
1998-01-01,1.15381
1998-04-01,1.18114
1998-07-01,1.68766
1998-10-01,1.95922
1999-01-01,1.30178
1999-04-01,1.16332
1999-07-01,1.62499
1999-10-01,2.20133
2000-01-01,1.05681
2000-04-01,2.46536
2000-07-01,0.76958
2000-10-01,1.10935
2001-01-01,0.34185
2001-04-01,1.24000
2001-07-01,0.01034
2001-10-01,0.58085
2002-01-01,1.24377
2002-04-01,0.92668
2002-07-01,0.93555
2002-10-01,0.60433
2003-01-01,1.13745
2003-04-01,1.25199
2003-07-01,2.23733
2003-10-01,1.64902
2004-01-01,1.45217
2004-04-01,1.60989
2004-07-01,1.52938
2004-10-01,1.57264
2005-01-01,2.00204
2005-04-01,1.25179
2005-07-01,1.78278
2005-10-01,1.33430
2006-01-01,1.99752
2006-04-01,1.10558
2006-07-01,0.78769
2006-10-01,1.13528
2007-01-01,1.18580
2007-04-01,1.32858
2007-07-01,1.02203
2007-10-01,0.79343
2008-01-01,-0.11508
2008-04-01,0.98579
2008-07-01,0.20252
2008-10-01,-1.97467
2009-01-01,-1.14090
2009-04-01,-0.30242
2009-07-01,0.30473
2009-10-01,1.26807
2010-01-01,0.78674
2010-04-01,1.41338
2010-07-01,1.13577
2010-10-01,1.14559
2011-01-01,0.05384
2011-04-01,1.46013
2011-07-01,0.81625
2011-10-01,1.27156
2012-01-01,1.19478
2012-04-01,0.92651
2012-07-01,0.65749
2012-10-01,0.42766
2013-01-01,1.09282
2013-04-01,0.40060
2013-07-01,1.25685
2013-10-01,1.49618
2014-01-01,0.14882
2014-04-01,1.52950
2014-07-01,1.64183
2014-10-01,0.69894
2015-01-01,0.51661
2015-04-01,1.20729
2015-07-01,0.79785
2015-10-01,0.44593
2016-01-01,0.32267
2016-04-01,0.92169
2016-07-01,1.22059
2016-10-01,1.03934
