DATE,NASDAQCOM_PCH
1971-07-01,-0.73247
1971-10-01,-1.02380
1972-01-01,13.99683
1972-04-01,7.14461
1972-07-01,-1.25887
1972-10-01,1.47582
1973-01-01,-4.20315
1973-04-01,-15.01470
1973-07-01,-1.35615
1973-10-01,-3.29952
1974-01-01,-7.98117
1974-04-01,-9.74960
1974-07-01,-21.94805
1974-10-01,-7.48752
1975-01-01,14.96076
1975-04-01,15.33210
1975-07-01,-1.25786
1975-10-01,-3.79668
1976-01-01,13.81280
1976-04-01,1.96190
1976-07-01,2.06958
1976-10-01,0.03288
1977-01-01,5.42347
1977-04-01,0.44689
1977-07-01,4.25246
1977-10-01,0.45653
1978-01-01,1.20530
1978-04-01,14.69153
1978-07-01,10.72432
1978-10-01,-7.87147
1979-01-01,4.70588
1979-04-01,6.33517
1979-07-01,8.46823
1979-10-01,-1.53378
1980-01-01,7.02358
1980-04-01,-4.41225
1980-07-01,21.99588
1980-10-01,11.36785
1981-01-01,0.61083
1981-04-01,9.02659
1981-07-01,-7.62575
1981-10-01,-2.64548
1982-01-01,-7.48171
1982-04-01,-0.81863
1982-07-01,-3.00039
1982-10-01,27.33284
1983-01-01,15.13523
1983-04-01,18.07130
1983-07-01,0.98316
1983-10-01,-7.45979
1984-01-01,-6.69984
1984-04-01,-7.43238
1984-07-01,0.77369
1984-10-01,0.16335
1985-01-01,12.18249
1985-04-01,4.02326
1985-07-01,3.57767
1985-10-01,2.11833
1986-01-01,14.90057
1986-04-01,12.04830
1986-07-01,-4.18206
1986-10-01,-4.70198
1987-01-01,15.10818
1987-04-01,2.80226
1987-07-01,4.44972
1987-10-01,-22.68522
1988-01-01,4.98677
1988-04-01,6.00459
1988-07-01,1.48745
1988-10-01,-1.62445
1989-01-01,5.59951
1989-04-01,8.77835
1989-07-01,5.83072
1989-10-01,-0.27428
1990-01-01,-5.32382
1990-04-01,2.56144
1990-07-01,-8.33090
1990-10-01,-13.86498
1991-01-01,21.71103
1991-04-01,15.22771
1991-07-01,2.98817
1991-10-01,5.71029
1992-01-01,15.97986
1992-04-01,-7.27653
1992-07-01,-0.69529
1992-10-01,9.22424
1993-01-01,9.62657
1993-04-01,-0.47391
1993-07-01,6.19753
1993-10-01,5.68685
1994-01-01,2.74917
1994-04-01,-7.56819
1994-07-01,1.59716
1994-10-01,1.82099
1995-01-01,4.15216
1995-04-01,10.41882
1995-07-01,17.05294
1995-10-01,2.47449
1996-01-01,3.00806
1996-04-01,11.02353
1996-07-01,-3.92646
1996-10-01,10.56009
1997-01-01,5.14681
1997-04-01,0.42003
1997-07-01,19.77622
1997-10-01,1.47398
1998-01-01,4.50352
1998-04-01,8.04659
1998-07-01,-1.56772
1998-10-01,3.26264
1999-01-01,27.59456
1999-04-01,6.49039
1999-07-01,8.13130
1999-10-01,19.79312
2000-01-01,35.43496
2000-04-01,-15.37195
2000-07-01,4.96288
2000-10-01,-23.05457
2001-01-01,-22.16752
2001-04-01,-11.71286
2001-07-01,-9.78155
2001-10-01,-2.62657
2002-01-01,3.05814
2002-04-01,-12.58817
2002-07-01,-20.40540
2002-10-01,2.43290
2003-01-01,0.73258
2003-04-01,12.59636
2003-07-01,15.98507
2003-10-01,9.56719
2004-01-01,5.41549
2004-04-01,-2.63976
2004-07-01,-5.68766
2004-10-01,9.59724
2005-01-01,0.15840
2005-04-01,-2.03453
2005-07-01,6.77128
2005-10-01,1.35565
2006-01-01,5.05492
2006-04-01,-2.31650
2006-07-01,-4.24729
2006-10-01,11.57641
2007-01-01,2.26906
2007-04-01,4.52381
2007-07-01,2.08784
2007-10-01,3.75997
2008-01-01,-13.69367
2008-04-01,3.90051
2008-07-01,-5.55340
2008-10-01,-29.96154
2009-01-01,-7.53950
2009-04-01,16.82767
2009-07-01,14.45462
2009-10-01,9.04457
2010-01-01,5.43897
2010-04-01,2.69716
2010-07-01,-4.46615
2010-10-01,13.34862
2011-01-01,8.01576
2011-04-01,0.93012
2011-07-01,-5.72390
2011-10-01,-0.21982
2012-01-01,11.77588
2012-04-01,0.66353
2012-07-01,3.41981
2012-10-01,-0.82272
2013-01-01,5.82078
2013-04-01,6.03297
2013-07-01,8.10241
2013-10-01,8.68412
2014-01-01,6.40169
2014-04-01,-0.34652
2014-07-01,6.83849
2014-10-01,2.63678
2015-01-01,4.87553
2015-04-01,4.24661
2015-07-01,-2.10410
2015-10-01,1.49888
2016-01-01,-7.68166
2016-04-01,5.01734
2016-07-01,6.66940
2016-10-01,2.72786
2017-01-01,8.03086
