DATE,NPCMCM
1988-01-01,4.41
1988-04-01,3.98
1988-07-01,4.04
1988-10-01,3.60
1989-01-01,3.58
1989-04-01,3.59
1989-07-01,3.68
1989-10-01,3.49
1990-01-01,3.58
1990-04-01,3.79
1990-07-01,3.97
1990-10-01,4.33
1991-01-01,4.74
1991-04-01,4.84
1991-07-01,4.76
1991-10-01,4.43
1992-01-01,4.41
1992-04-01,4.15
1992-07-01,3.95
1992-10-01,3.40
1993-01-01,3.19
1993-04-01,2.85
1993-07-01,2.56
1993-10-01,2.04
1994-01-01,1.84
1994-04-01,1.50
1994-07-01,1.36
1994-10-01,1.27
1995-01-01,1.27
1995-04-01,1.26
1995-07-01,1.22
1995-10-01,1.19
1996-01-01,1.20
1996-04-01,1.13
1996-07-01,1.11
1996-10-01,0.98
1997-01-01,0.97
1997-04-01,0.96
1997-07-01,0.92
1997-10-01,0.85
1998-01-01,0.97
1998-04-01,0.94
1998-07-01,0.95
1998-10-01,0.99
1999-01-01,1.10
1999-04-01,1.10
1999-07-01,1.21
1999-10-01,1.18
2000-01-01,1.28
2000-04-01,1.41
2000-07-01,1.52
2000-10-01,1.66
2001-01-01,1.81
2001-04-01,2.03
2001-07-01,2.18
2001-10-01,2.41
2002-01-01,2.61
2002-04-01,2.87
2002-07-01,3.01
2002-10-01,2.93
2003-01-01,2.81
2003-04-01,2.71
2003-07-01,2.60
2003-10-01,2.12
2004-01-01,1.92
2004-04-01,1.63
2004-07-01,1.43
2004-10-01,1.17
2005-01-01,1.03
2005-04-01,0.92
2005-07-01,0.88
2005-10-01,0.75
2006-01-01,0.70
2006-04-01,0.69
2006-07-01,0.72
2006-10-01,0.63
2007-01-01,0.61
2007-04-01,0.61
2007-07-01,0.61
2007-10-01,0.66
2008-01-01,0.79
2008-04-01,1.07
2008-07-01,1.18
2008-10-01,1.70
2009-01-01,2.21
2009-04-01,2.78
2009-07-01,3.61
2009-10-01,3.51
2010-01-01,3.08
2010-04-01,2.85
2010-07-01,2.73
2010-10-01,2.44
2011-01-01,1.86
2011-04-01,1.62
2011-07-01,1.47
2011-10-01,1.27
2012-01-01,1.14
2012-04-01,1.06
2012-07-01,0.95
2012-10-01,0.86
2013-01-01,0.80
2013-04-01,0.73
2013-07-01,0.73
2013-10-01,0.63
2014-01-01,0.59
2014-04-01,0.57
2014-07-01,0.54
2014-10-01,0.49
2015-01-01,0.53
2015-04-01,0.60
2015-07-01,0.69
2015-10-01,0.77
2016-01-01,1.26
2016-04-01,1.35
2016-07-01,1.34
2016-10-01,1.28
