DATE,UNRATE_PCH
1948-04-01,0.00000
1948-07-01,2.70270
1948-10-01,0.00000
1949-01-01,23.68421
1949-04-01,25.53191
1949-07-01,13.55932
1949-10-01,4.47761
1950-01-01,-8.57143
1950-04-01,-12.50000
1950-07-01,-17.85714
1950-10-01,-8.69565
1951-01-01,-16.66667
1951-04-01,-11.42857
1951-07-01,3.22581
1951-10-01,6.25000
1952-01-01,-8.82353
1952-04-01,-3.22581
1952-07-01,6.66667
1952-10-01,-12.50000
1953-01-01,-3.57143
1953-04-01,-3.70370
1953-07-01,3.84615
1953-10-01,37.03704
1954-01-01,43.24324
1954-04-01,9.43396
1954-07-01,3.44828
1954-10-01,-11.66667
1955-01-01,-11.32075
1955-04-01,-6.38298
1955-07-01,-6.81818
1955-10-01,2.43902
1956-01-01,-4.76190
1956-04-01,5.00000
1956-07-01,-2.38095
1956-10-01,0.00000
1957-01-01,-4.87805
1957-04-01,5.12821
1957-07-01,2.43902
1957-10-01,16.66667
1958-01-01,28.57143
1958-04-01,17.46032
1958-07-01,-1.35135
1958-10-01,-12.32877
1959-01-01,-9.37500
1959-04-01,-12.06897
1959-07-01,3.92157
1959-10-01,5.66038
1960-01-01,-8.92857
1960-04-01,1.96078
1960-07-01,5.76923
1960-10-01,14.54545
1961-01-01,7.93651
1961-04-01,2.94118
1961-07-01,-2.85714
1961-10-01,-8.82353
1962-01-01,-9.67742
1962-04-01,-1.78571
1962-07-01,1.81818
1962-10-01,-1.78571
1963-01-01,5.45455
1963-04-01,-1.72414
1963-07-01,-3.50877
1963-10-01,1.81818
1964-01-01,-1.78571
1964-04-01,-5.45455
1964-07-01,-3.84615
1964-10-01,0.00000
1965-01-01,-2.00000
1965-04-01,-4.08163
1965-07-01,-6.38298
1965-10-01,-6.81818
1966-01-01,-4.87805
1966-04-01,-2.56410
1966-07-01,0.00000
1966-10-01,-2.63158
1967-01-01,2.70270
1967-04-01,0.00000
1967-07-01,0.00000
1967-10-01,2.63158
1968-01-01,-5.12821
1968-04-01,-2.70270
1968-07-01,-2.77778
1968-10-01,-2.85714
1969-01-01,0.00000
1969-04-01,0.00000
1969-07-01,5.88235
1969-10-01,0.00000
1970-01-01,16.66667
1970-04-01,14.28571
1970-07-01,8.33333
1970-10-01,11.53846
1971-01-01,1.72414
1971-04-01,0.00000
1971-07-01,1.69492
1971-10-01,-1.66667
1972-01-01,-1.69492
1972-04-01,-1.72414
1972-07-01,-1.75439
1972-10-01,-3.57143
1973-01-01,-9.25926
1973-04-01,0.00000
1973-07-01,-2.04082
1973-10-01,0.00000
1974-01-01,6.25000
1974-04-01,1.96078
1974-07-01,7.69231
1974-10-01,17.85714
1975-01-01,25.75758
1975-04-01,7.22892
1975-07-01,-4.49438
1975-10-01,-2.35294
1976-01-01,-7.22892
1976-04-01,-1.29870
1976-07-01,1.31579
1976-10-01,1.29870
1977-01-01,-3.84615
1977-04-01,-5.33333
1977-07-01,-2.81690
1977-10-01,-2.89855
1978-01-01,-5.97015
1978-04-01,-4.76190
1978-07-01,0.00000
1978-10-01,-1.66667
1979-01-01,0.00000
1979-04-01,-3.38983
1979-07-01,3.50877
1979-10-01,1.69492
1980-01-01,5.00000
1980-04-01,15.87302
1980-07-01,5.47945
1980-10-01,-3.89610
1981-01-01,0.00000
1981-04-01,0.00000
1981-07-01,0.00000
1981-10-01,10.81081
1982-01-01,7.31707
1982-04-01,6.81818
1982-07-01,5.31915
1982-10-01,8.08081
1983-01-01,-2.80374
1983-04-01,-2.88462
1983-07-01,-6.93069
1983-10-01,-9.57447
1984-01-01,-7.05882
1984-04-01,-6.32911
1984-07-01,0.00000
1984-10-01,-1.35135
1985-01-01,-1.36986
1985-04-01,1.38889
1985-07-01,-1.36986
1985-10-01,-2.77778
1986-01-01,0.00000
1986-04-01,2.85714
1986-07-01,-2.77778
1986-10-01,-2.85714
1987-01-01,-2.94118
1987-04-01,-4.54545
1987-07-01,-4.76190
1987-10-01,-3.33333
1988-01-01,-1.72414
1988-04-01,-3.50877
1988-07-01,0.00000
1988-10-01,-3.63636
1989-01-01,-1.88679
1989-04-01,0.00000
1989-07-01,0.00000
1989-10-01,3.84615
1990-01-01,-1.85185
1990-04-01,0.00000
1990-07-01,7.54717
1990-10-01,7.01754
1991-01-01,8.19672
1991-04-01,3.03030
1991-07-01,1.47059
1991-10-01,2.89855
1992-01-01,4.22535
1992-04-01,2.70270
1992-07-01,0.00000
1992-10-01,-2.63158
1993-01-01,-4.05405
1993-04-01,0.00000
1993-07-01,-4.22535
1993-10-01,-2.94118
1994-01-01,0.00000
1994-04-01,-6.06061
1994-07-01,-3.22581
1994-10-01,-6.66667
1995-01-01,-1.78571
1995-04-01,3.63636
1995-07-01,0.00000
1995-10-01,-1.75439
1996-01-01,-1.78571
1996-04-01,0.00000
1996-07-01,-3.63636
1996-10-01,0.00000
1997-01-01,-1.88679
1997-04-01,-3.84615
1997-07-01,-2.00000
1997-10-01,-4.08163
1998-01-01,-2.12766
1998-04-01,-4.34783
1998-07-01,2.27273
1998-10-01,-2.22222
1999-01-01,-2.27273
1999-04-01,0.00000
1999-07-01,-2.32558
1999-10-01,-2.38095
2000-01-01,-2.43902
2000-04-01,-2.50000
2000-07-01,2.56410
2000-10-01,-2.50000
2001-01-01,7.69231
2001-04-01,4.76190
2001-07-01,9.09091
2001-10-01,14.58333
2002-01-01,3.63636
2002-04-01,1.75439
2002-07-01,-1.72414
2002-10-01,3.50877
2003-01-01,0.00000
2003-04-01,3.38983
2003-07-01,0.00000
2003-10-01,-4.91803
2004-01-01,-1.72414
2004-04-01,-1.75439
2004-07-01,-3.57143
2004-10-01,0.00000
2005-01-01,-1.85185
2005-04-01,-3.77358
2005-07-01,-1.96078
2005-10-01,0.00000
2006-01-01,-6.00000
2006-04-01,-2.12766
2006-07-01,0.00000
2006-10-01,-4.34783
2007-01-01,2.27273
2007-04-01,0.00000
2007-07-01,4.44444
2007-10-01,2.12766
2008-01-01,4.16667
2008-04-01,6.00000
2008-07-01,13.20755
2008-10-01,15.00000
2009-01-01,20.28986
2009-04-01,12.04819
2009-07-01,3.22581
2009-10-01,3.12500
2010-01-01,-1.01010
2010-04-01,-2.04082
2010-07-01,-1.04167
2010-10-01,0.00000
2011-01-01,-5.26316
2011-04-01,1.11111
2011-07-01,-1.09890
2011-10-01,-4.44444
2012-01-01,-3.48837
2012-04-01,-1.20482
2012-07-01,-2.43902
2012-10-01,-2.50000
2013-01-01,-1.28205
2013-04-01,-2.59740
2013-07-01,-2.66667
2013-10-01,-5.47945
2014-01-01,-2.89855
2014-04-01,-7.46269
2014-07-01,-1.61290
2014-10-01,-6.55738
2015-01-01,-3.50877
2015-04-01,-1.81818
2015-07-01,-5.55556
2015-10-01,-1.96078
2016-01-01,-2.00000
2016-04-01,0.00000
2016-07-01,0.00000
2016-10-01,-4.08163
2017-01-01,0.00000
