DATE,DICS,NPL,Unemp,RGDP
1/1/1993,0.009,-0.004110473,-0.001783816,0.000739533
4/1/1993,0.237,-0.004506284,-0.00107029,0.0006194
7/1/1993,0.394,-0.00444377,-0.002442174,-0.00451656
10/1/1993,0.559,-0.005786262,-0.002665304,-0.000267216
1/1/1994,0.466,-0.004671757,-0.001599183,-0.00080161
4/1/1994,0.583,-0.004843054,-0.00335951,0.004606494
7/1/1994,0.522,-0.003745833,-0.003215706,0.000638337
10/1/1994,0.461,-0.0027875,-0.004329423,0.002695522
1/1/1995,0.445,-0.0016725,-0.003197654,-0.003041147
4/1/1995,0.521,-0.0010635,-0.000718592,0.001444352
7/1/1995,0.457,-0.0008781,-0.000431155,-0.003889229
10/1/1995,0.337,-0.00070686,-0.000858693,-0.002292917
1/1/1996,0.307,-0.000364116,0.000316568,0.00166967
4/1/1996,0.361,-0.00063847,-0.00001326,0.000117702
7/1/1996,0.288,-0.000503082,-0.000699956,-0.000245279
10/1/1996,0.346,-0.001081849,-0.000893787,0.006390253
1/1/1997,0.333,-0.000709109,-0.000553064,-0.001092328
4/1/1997,0.325,-0.000485466,-0.001627838,0.000134983
7/1/1997,0.385,-0.000531279,-0.001743552,-0.00168937
10/1/1997,0.404,-0.000738768,-0.002246131,0.003470898
1/1/1998,0.254,0.000276739,-0.001947679,0.000664259
4/1/1998,0.34,-0.000014,-0.002151214,-0.002583085
7/1/1998,0.143,0.0000516,-0.000558328,-0.000269031
10/1/1998,-0.473,0.000270976,0.002693602,-0.000277879
1/1/1999,-0.314,0.000822585,0.000198762,0.001866433
4/1/1999,-0.071,0.000493551,-0.000101742,0.00311678
7/1/1999,-0.215,0.000956131,0.000449954,-0.003187632
10/1/1999,-0.236,0.000393678,-0.000450428,-0.001758379
1/1/2000,-0.25,0.000836207,-0.000677456,0.001552812
4/1/2000,-0.352,0.001281724,-0.000681474,0.003789967
7/1/2000,-0.358,0.001429035,0.002013116,-0.00639482
10/1/2000,-0.544,0.001697421,0.00224167,0.005750988
1/1/2001,-0.571,0.001918452,0.004808901,-0.007156087
4/1/2001,-0.444,0.002471071,0.00616374,-0.001610452
7/1/2001,-0.508,0.002382643,0.004637044,-0.006077311
10/1/2001,-0.589,0.002809586,0.010150227,0.001236713
1/1/2002,-0.4,0.002885751,0.004866536,-0.004335172
4/1/2002,-0.237,0.003291451,0.000571122,0.000963497
7/1/2002,-0.411,0.002814871,0.000772673,0.004436458
10/1/2002,-0.291,0.001208922,0,0.000444875
